name,year,month,day,hour,power,lat,lng,PRES,WND
Carmen,1949,1,13,0,0,5.7,139.9,1006.0,0.0
Carmen,1949,1,13,6,0,5.9,139.3,1006.0,0.0
Carmen,1949,1,13,12,0,6.3,138.7,1006.0,0.0
Carmen,1949,1,13,18,0,6.7,138.0,1006.0,0.0
Carmen,1949,1,14,0,0,7.2,137.3,1005.0,0.0
Carmen,1949,1,14,6,0,7.7,136.7,1005.0,0.0
Carmen,1949,1,14,12,0,8.2,136.0,1005.0,0.0
Carmen,1949,1,14,18,0,8.8,135.3,1005.0,0.0
Carmen,1949,1,15,0,1,9.6,134.8,1005.0,15.0
Carmen,1949,1,15,6,2,10.8,134.5,1002.0,20.0
Carmen,1949,1,15,12,3,11.6,134.5,1000.0,25.0
Carmen,1949,1,15,18,3,12.2,134.6,998.0,30.0
Carmen,1949,1,16,0,3,12.7,134.7,998.0,30.0
Carmen,1949,1,16,6,4,13.1,135.1,996.0,35.0
Carmen,1949,1,16,12,4,13.2,135.3,996.0,35.0
Carmen,1949,1,16,18,4,13.2,135.6,996.0,35.0
Carmen,1949,1,17,0,4,13.1,135.9,993.0,35.0
Carmen,1949,1,17,6,4,12.8,136.1,993.0,35.0
Carmen,1949,1,17,12,4,12.6,135.9,993.0,35.0
Carmen,1949,1,17,18,5,12.4,135.6,990.0,45.0
Carmen,1949,1,18,0,5,12.3,135.2,990.0,45.0
Carmen,1949,1,18,6,5,12.4,134.5,990.0,45.0
Carmen,1949,1,18,12,5,12.4,133.8,990.0,45.0
Carmen,1949,1,18,18,4,12.3,132.8,995.0,35.0
Carmen,1949,1,19,0,3,12.2,131.8,995.0,30.0
Carmen,1949,1,19,6,3,12.1,130.9,995.0,30.0
Carmen,1949,1,19,12,2,11.9,129.9,1000.0,20.0
Carmen,1949,1,19,18,2,11.7,129.1,1000.0,20.0
Carmen,1949,1,20,0,1,11.6,128.2,1002.0,15.0
Carmen,1949,1,20,6,1,11.4,127.4,1004.0,15.0
Carmen,1949,1,20,12,0,11.3,126.6,1006.0,0.0
Carmen,1949,1,20,18,0,11.2,125.7,1006.0,0.0
Carmen,1949,1,21,0,0,11.3,124.9,1008.0,0.0
Carmen,1949,1,21,6,0,11.4,124.3,1008.0,0.0
Carmen,1949,1,21,12,0,11.6,123.8,1008.0,0.0
Carmen,1949,1,21,18,0,11.7,123.3,1008.0,0.0
Carmen,1949,1,22,0,0,11.9,122.7,1008.0,0.0
Carmen,1949,1,22,6,0,12.0,122.2,1008.0,0.0
Carmen,1949,1,22,12,0,12.5,121.2,1008.0,0.0
Carmen,1949,1,22,18,0,13.3,120.0,1008.0,0.0
Carmen,1949,1,23,0,0,13.8,119.4,1008.0,0.0
Carmen,1949,1,23,6,0,14.3,119.1,1008.0,0.0
Carmen,1949,1,23,12,0,14.7,118.7,1008.0,0.0
Carmen,1949,1,23,18,0,15.2,118.4,1008.0,0.0
Carmen,1949,1,24,0,0,15.7,118.2,1008.0,0.0
Carmen,1949,1,24,6,0,16.1,117.9,1008.0,0.0
Carmen,1949,1,24,12,0,16.6,117.7,1008.0,0.0
Carmen,1949,1,24,18,0,17.1,117.4,1010.0,0.0
Carmen,1949,1,25,0,0,17.5,117.3,1012.0,0.0
Carmen,1949,1,25,0,0,17.5,117.3,1012.0,0.0
Della,1949,6,12,0,0,6.6,145.0,1008.0,0.0
Della,1949,6,12,6,0,6.6,143.7,1008.0,0.0
Della,1949,6,12,12,0,6.6,142.7,1008.0,0.0
Della,1949,6,12,18,0,6.6,141.8,1008.0,0.0
Della,1949,6,13,0,0,6.6,140.8,1006.0,0.0
Della,1949,6,13,6,0,6.6,140.1,1006.0,0.0
Della,1949,6,13,12,0,6.7,139.3,1006.0,0.0
Della,1949,6,13,18,0,6.8,138.6,1006.0,0.0
Della,1949,6,14,0,0,7.0,137.7,1005.0,0.0
Della,1949,6,14,6,0,7.2,137.0,1005.0,0.0
Della,1949,6,14,12,0,7.5,136.2,1005.0,0.0
Della,1949,6,14,18,0,7.8,135.4,1005.0,0.0
Della,1949,6,15,0,0,8.3,134.7,1005.0,0.0
Della,1949,6,15,6,0,8.8,134.0,1005.0,0.0
Della,1949,6,15,12,0,9.3,133.2,1005.0,0.0
Della,1949,6,15,18,0,9.9,132.5,1005.0,0.0
Della,1949,6,16,0,0,10.7,131.7,1005.0,0.0
Della,1949,6,16,6,1,11.5,130.9,1004.0,15.0
Della,1949,6,16,12,1,12.3,130.2,1004.0,15.0
Della,1949,6,16,18,1,13.4,129.3,1004.0,15.0
Della,1949,6,17,0,2,14.3,128.6,1002.0,20.0
Della,1949,6,17,6,2,15.2,127.8,1000.0,20.0
Della,1949,6,17,12,2,15.9,127.1,998.0,20.0
Della,1949,6,17,18,3,16.6,126.4,996.0,25.0
Della,1949,6,18,0,3,17.2,125.8,992.0,30.0
Della,1949,6,18,6,4,17.8,125.2,988.0,35.0
Della,1949,6,18,12,4,18.3,124.8,984.0,40.0
Della,1949,6,18,18,5,18.8,124.3,980.0,45.0
Della,1949,6,19,0,5,19.4,123.9,980.0,45.0
Della,1949,6,19,6,5,20.7,124.9,978.0,50.0
Della,1949,6,19,12,5,22.2,125.8,978.0,50.0
Della,1949,6,19,18,5,23.3,125.8,974.0,50.0
Della,1949,6,20,0,5,24.8,126.1,974.0,50.0
Della,1949,6,20,6,6,27.1,128.2,960.0,60.0
Della,1949,6,20,12,6,30.3,130.2,960.0,60.0
Della,1949,6,20,18,5,33.3,131.0,974.0,45.0
Della,1949,6,21,0,4,35.0,130.7,980.0,40.0
Della,1949,6,21,6,4,36.0,130.3,984.0,40.0
Della,1949,6,21,12,3,35.5,130.0,992.0,30.0
Della,1949,6,21,18,3,35.7,131.3,994.0,25.0
Della,1949,6,22,0,2,37.2,135.0,996.0,20.0
Della,1949,6,22,6,2,39.0,138.1,998.0,20.0
Della,1949,6,22,12,1,39.7,139.0,1000.0,15.0
Della,1949,6,22,18,9,40.5,139.6,1002.0,15.0
Della,1949,6,23,0,9,41.0,140.5,1003.0,12.0
Della,1949,6,23,6,9,41.4,142.5,1003.0,12.0
Della,1949,6,23,12,9,41.7,145.0,1005.0,0.0
Della,1949,6,23,18,9,42.6,147.0,1007.0,0.0
Della,1949,6,24,0,9,44.0,149.5,1008.0,0.0
Della,1949,6,24,6,9,46.0,152.0,1008.0,0.0
(nameless),1949,6,20,6,1,21.3,121.8,1000.0,12.0
(nameless),1949,6,20,12,1,21.5,123.5,1000.0,12.0
(nameless),1949,6,20,18,1,21.8,124.8,1000.0,12.0
(nameless),1949,6,21,0,1,22.0,126.0,1000.0,12.0
(nameless),1949,6,21,6,1,22.5,127.2,1002.0,12.0
(nameless),1949,6,21,12,1,23.2,128.6,1002.0,12.0
(nameless),1949,6,21,18,1,23.5,130.2,1004.0,12.0
(nameless),1949,6,22,0,1,24.0,132.0,1004.0,12.0
