year,month,day,hour,power,lat,lng,PRES,WND
1949,11,14,6,1,8.1,153.9,998.0,12.0
1949,11,14,12,1,8.5,153.4,997.0,15.0
1949,11,14,18,2,8.8,153.0,996.0,20.0
1949,11,15,0,2,9.2,152.5,995.0,20.0
1949,11,15,6,3,9.6,152.0,993.0,25.0
1949,11,15,12,3,9.9,151.5,992.0,25.0
1949,11,15,18,3,10.2,151.0,990.0,30.0
1949,11,16,0,3,10.5,150.4,988.0,30.0
1949,11,16,6,4,10.8,149.9,985.0,35.0
1949,11,16,12,4,11.4,148.7,982.0,35.0
1949,11,16,18,4,11.8,147.5,980.0,40.0
1949,11,17,0,4,12.0,146.1,978.0,40.0
1949,11,17,6,5,12.4,145.0,975.0,45.0
1949,11,17,12,5,13.0,143.8,972.0,45.0
1949,11,17,18,5,13.4,142.6,970.0,45.0
1949,11,18,0,5,13.7,141.6,970.0,45.0
1949,11,18,6,5,14.2,140.6,970.0,45.0
1949,11,18,12,5,14.6,139.7,970.0,45.0
1949,11,18,18,5,14.8,138.8,970.0,45.0
1949,11,19,0,5,15.1,138.1,970.0,45.0
1949,11,19,6,5,15.5,137.1,970.0,45.0
1949,11,19,12,5,15.9,136.0,970.0,45.0
1949,11,19,18,5,16.3,135.0,970.0,45.0
1949,11,20,0,5,16.7,133.8,970.0,45.0
1949,11,20,6,5,16.9,133.3,970.0,45.0
1949,11,20,12,5,17.1,132.7,970.0,45.0
1949,11,20,18,5,17.4,132.0,970.0,45.0
1949,11,21,0,5,17.6,131.4,970.0,45.0
1949,11,21,6,5,18.0,130.8,970.0,45.0
1949,11,21,12,5,18.5,130.4,970.0,45.0
1949,11,21,18,5,19.1,130.2,970.0,45.0
1949,11,22,0,5,19.8,130.2,968.0,45.0
1949,11,22,6,5,20.7,130.4,965.0,50.0
1949,11,22,12,5,22.2,131.1,962.0,50.0
1949,11,22,18,5,24.1,132.4,960.0,50.0
1949,11,23,0,5,26.0,133.9,961.0,50.0
1949,11,23,6,5,27.8,135.7,962.0,50.0
1949,11,23,12,5,29.4,137.7,963.0,50.0
1949,11,23,18,5,30.8,140.0,965.0,45.0
1949,11,24,0,5,32.4,143.4,968.0,45.0
1949,11,24,6,4,33.8,147.0,972.0,40.0
1949,11,24,12,9,35.8,152.0,975.0,35.0
1949,11,24,18,9,37.7,157.3,978.0,0.0
1949,11,25,0,9,38.8,163.2,980.0,0.0
1949,11,25,6,9,40.2,170.8,980.0,0.0
1949,11,25,12,9,41.0,178.3,980.0,0.0
