year,month,day,hour,power,lat,lng,PRES,WND
1949,8,19,0,1,34.7,139.8,1000.0,12.0
1949,8,19,6,1,34.9,141.0,998.0,15.0
1949,8,19,12,1,35.1,142.3,998.0,15.0
1949,8,19,18,1,35.2,143.3,998.0,15.0
1949,8,20,0,1,35.3,144.3,998.0,15.0
1949,8,20,6,1,35.4,145.1,998.0,15.0
1949,8,20,12,1,35.6,146.0,998.0,15.0
1949,8,20,18,1,35.9,147.0,998.0,15.0
1949,8,21,0,1,36.1,148.0,998.0,15.0
1949,8,21,6,1,36.3,149.1,998.0,15.0
1949,8,21,12,1,36.4,150.1,998.0,15.0
1949,8,21,18,1,36.6,151.0,999.0,15.0
1949,8,22,0,1,36.7,152.0,1000.0,15.0
1949,8,22,6,1,36.8,153.0,1000.0,15.0
1949,8,22,12,1,37.0,154.0,1000.0,15.0
1949,8,22,18,1,36.7,154.9,1001.0,12.0
1949,8,23,0,1,35.9,154.7,1001.0,12.0
1949,8,23,6,0,35.3,153.9,1001.0,0.0
1949,8,23,12,0,34.8,153.1,1001.0,0.0
1949,8,23,18,0,34.5,152.2,1002.0,0.0
1949,8,24,0,0,34.1,151.2,1003.0,0.0
1949,8,24,6,0,33.6,150.2,1003.0,0.0
1949,8,24,12,0,33.3,149.3,1003.0,0.0
1949,8,24,18,0,33.0,148.3,1003.0,0.0
1949,8,25,0,0,32.8,147.2,1003.0,0.0
1949,8,25,6,0,32.5,146.0,1005.0,0.0
