year,month,day,hour,power,lat,lng,PRES,WND
1949,8,7,0,0,7.4,133.7,1006.0,0.0
1949,8,7,6,0,7.7,133.3,1006.0,0.0
1949,8,7,12,0,8.2,132.9,1005.0,0.0
1949,8,7,18,0,8.5,132.7,1004.0,0.0
1949,8,8,0,0,8.8,132.4,1004.0,0.0
1949,8,8,6,0,9.2,132.2,1004.0,0.0
1949,8,8,12,0,9.5,132.1,1004.0,0.0
1949,8,8,18,0,9.8,131.9,1004.0,0.0
1949,8,9,0,1,10.3,131.7,1003.0,15.0
1949,8,9,6,1,10.9,131.4,1002.0,15.0
1949,8,9,12,1,11.9,131.1,1001.0,15.0
1949,8,9,18,1,12.9,130.6,1000.0,15.0
1949,8,10,0,2,13.9,130.1,999.0,20.0
1949,8,10,6,2,14.9,129.4,998.0,20.0
1949,8,10,12,2,15.6,128.9,997.0,20.0
1949,8,10,18,2,16.2,128.3,996.0,20.0
1949,8,11,0,3,16.9,127.6,994.0,25.0
1949,8,11,6,3,17.3,127.0,992.0,25.0
1949,8,11,12,3,17.5,126.5,990.0,25.0
1949,8,11,18,3,17.8,126.2,988.0,30.0
1949,8,12,0,4,18.3,125.8,980.0,35.0
1949,8,12,6,4,19.0,125.4,980.0,35.0
1949,8,12,12,4,20.2,125.4,975.0,35.0
1949,8,12,18,4,21.4,126.0,970.0,40.0
1949,8,13,0,4,22.4,126.9,970.0,40.0
1949,8,13,6,4,23.5,128.0,970.0,40.0
1949,8,13,12,4,24.7,129.2,970.0,40.0
1949,8,13,18,4,25.7,130.2,970.0,40.0
1949,8,14,0,5,26.7,130.8,960.0,50.0
1949,8,14,6,5,27.7,131.1,960.0,50.0
1949,8,14,12,5,28.7,131.3,960.0,50.0
1949,8,14,18,5,29.8,131.3,960.0,50.0
1949,8,15,0,5,30.6,131.3,960.0,50.0
1949,8,15,6,5,31.0,131.1,960.0,50.0
1949,8,15,12,5,31.5,130.9,960.0,45.0
1949,8,15,18,4,32.0,130.5,976.0,35.0
1949,8,16,0,3,32.8,129.9,980.0,30.0
1949,8,16,6,3,33.5,129.2,980.0,30.0
1949,8,16,12,3,33.8,128.9,982.0,30.0
1949,8,16,18,3,34.2,128.5,982.0,30.0
1949,8,17,0,3,34.3,128.6,984.0,25.0
1949,8,17,6,3,34.4,128.7,984.0,25.0
1949,8,17,12,3,34.5,128.9,984.0,25.0
1949,8,17,18,3,34.5,129.1,984.0,25.0
1949,8,18,0,2,34.5,129.7,988.0,20.0
1949,8,18,6,2,34.5,130.5,992.0,20.0
1949,8,18,12,1,34.6,131.5,994.0,15.0
1949,8,18,18,1,35.0,132.8,994.0,12.0
1949,8,19,0,1,35.6,133.8,996.0,12.0
1949,8,19,6,1,35.8,134.6,996.0,12.0
