year,month,day,hour,power,lat,lng,PRES,WND
1949,8,31,0,0,17.2,146.2,1003.0,0.0
1949,8,31,6,0,17.2,145.3,1002.0,0.0
1949,8,31,12,0,17.2,144.4,1001.0,0.0
1949,8,31,18,1,17.2,143.5,1000.0,15.0
1949,9,1,0,1,17.2,142.4,999.0,15.0
1949,9,1,6,1,17.3,141.3,998.0,15.0
1949,9,1,12,2,17.4,140.1,997.0,20.0
1949,9,1,18,2,17.5,138.9,996.0,20.0
1949,9,2,0,3,17.7,137.8,992.0,25.0
1949,9,2,6,3,17.9,137.0,988.0,30.0
1949,9,2,12,3,18.6,136.4,984.0,30.0
1949,9,2,18,3,19.5,137.2,980.0,30.0
1949,9,3,0,4,20.0,138.0,977.0,35.0
1949,9,3,6,4,20.7,138.8,975.0,35.0
1949,9,3,12,4,21.4,139.7,972.0,35.0
1949,9,3,18,4,22.2,140.4,970.0,40.0
1949,9,4,0,4,22.9,141.0,970.0,40.0
1949,9,4,6,4,23.5,141.2,970.0,40.0
1949,9,4,12,4,24.2,141.5,970.0,40.0
1949,9,4,18,4,25.1,141.8,970.0,40.0
1949,9,5,0,4,26.0,142.2,970.0,40.0
1949,9,5,6,4,27.3,143.1,970.0,40.0
1949,9,5,12,4,28.8,144.4,970.0,40.0
1949,9,5,18,4,29.7,145.5,970.0,40.0
1949,9,6,0,4,30.7,146.9,967.0,40.0
1949,9,6,6,4,31.8,148.1,965.0,40.0
1949,9,6,12,5,32.8,149.1,962.0,45.0
1949,9,6,18,5,33.9,149.9,960.0,45.0
1949,9,7,0,5,35.3,150.3,960.0,45.0
1949,9,7,6,5,36.7,150.4,960.0,45.0
1949,9,7,12,5,37.7,150.4,960.0,45.0
1949,9,7,18,5,38.5,150.4,960.0,45.0
1949,9,8,0,4,39.3,150.4,970.0,40.0
1949,9,8,6,3,40.4,150.8,980.0,30.0
1949,9,8,12,9,41.6,152.0,990.0,20.0
1949,9,8,18,9,43.0,153.8,1000.0,15.0
1949,9,9,0,9,44.4,155.4,1001.0,0.0
1949,9,9,6,9,46.6,157.7,1002.0,0.0
1949,9,9,12,9,47.4,158.4,1004.0,0.0
