year,month,day,hour,power,lat,lng,PRES,WND
1949,9,2,0,1,21.1,152.0,1000.0,15.0
1949,9,2,6,2,21.9,152.0,995.0,20.0
1949,9,2,12,3,22.8,151.9,990.0,25.0
1949,9,2,18,3,23.7,151.4,984.0,30.0
1949,9,3,0,3,25.0,150.2,983.0,30.0
1949,9,3,6,3,26.1,149.1,982.0,30.0
1949,9,3,12,3,27.2,148.4,981.0,30.0
1949,9,3,18,3,28.4,148.0,980.0,30.0
1949,9,4,0,3,29.6,148.0,980.0,30.0
1949,9,4,6,3,31.2,148.5,980.0,30.0
1949,9,4,12,3,32.8,149.5,980.0,30.0
1949,9,4,18,3,34.0,150.6,980.0,30.0
1949,9,5,0,3,35.2,152.1,980.0,30.0
1949,9,5,6,3,36.8,153.9,980.0,30.0
1949,9,5,12,3,38.4,155.7,980.0,30.0
1949,9,5,18,3,39.8,158.0,980.0,30.0
1949,9,6,0,3,41.9,161.9,980.0,30.0
1949,9,6,6,3,43.7,166.3,980.0,30.0
1949,9,6,12,3,45.0,169.8,980.0,30.0
1949,9,6,18,3,47.3,172.7,980.0,30.0
1949,9,7,0,4,49.7,175.9,978.0,35.0
1949,9,7,6,4,50.7,178.2,975.0,35.0
1949,9,7,12,4,51.3,179.8,973.0,40.0
