year,month,day,hour,power,lat,lng,PRES,WND
1949,9,29,0,0,7.4,138.2,1004.0,0.0
1949,9,29,6,0,8.1,137.1,1004.0,0.0
1949,9,29,12,0,8.8,135.9,1003.0,0.0
1949,9,29,18,0,9.5,134.8,1003.0,0.0
1949,9,30,0,0,10.3,133.5,1002.0,0.0
1949,9,30,6,0,11.2,132.2,1002.0,0.0
1949,9,30,12,0,12.2,131.2,1001.0,0.0
1949,9,30,18,1,13.1,130.1,1000.0,15.0
1949,10,1,0,1,14.0,129.0,998.0,15.0
1949,10,1,6,2,15.0,128.1,995.0,20.0
1949,10,1,12,2,16.0,127.2,992.0,20.0
1949,10,1,18,3,16.8,126.3,990.0,25.0
1949,10,2,0,3,17.6,125.2,988.0,25.0
1949,10,2,6,3,18.4,124.1,985.0,30.0
1949,10,2,12,4,19.1,122.9,982.0,35.0
1949,10,2,18,4,19.3,121.7,980.0,35.0
1949,10,3,0,4,19.6,120.7,980.0,35.0
1949,10,3,6,4,20.0,119.9,980.0,35.0
1949,10,3,12,4,20.7,119.2,980.0,35.0
1949,10,3,18,3,21.5,118.5,985.0,30.0
1949,10,4,0,3,22.1,117.9,990.0,25.0
1949,10,4,6,2,23.0,117.2,990.0,20.0
1949,10,4,12,1,23.7,116.3,995.0,15.0
1949,10,4,18,0,24.0,116.0,1000.0,9.0
