year,month,day,hour,power,lat,lng,PRES,WND
1949,10,20,0,0,11.6,141.5,1004.0,0.0
1949,10,20,6,1,11.8,140.9,1002.0,12.0
1949,10,20,12,1,12.1,140.3,1002.0,12.0
1949,10,20,18,1,12.4,139.7,1002.0,12.0
1949,10,21,0,1,12.8,139.1,1001.0,15.0
1949,10,21,6,2,13.2,138.4,1000.0,20.0
1949,10,21,12,2,13.6,137.8,999.0,20.0
1949,10,21,18,2,14.0,137.2,998.0,20.0
1949,10,22,0,3,14.4,136.6,995.0,25.0
1949,10,22,6,3,14.7,136.1,992.0,25.0
1949,10,22,12,3,15.0,135.5,988.0,25.0
1949,10,22,18,3,15.3,134.9,986.0,30.0
1949,10,23,0,3,15.6,134.3,985.0,30.0
1949,10,23,6,4,16.0,133.7,983.0,35.0
1949,10,23,12,4,16.4,132.8,981.0,35.0
1949,10,23,18,4,16.8,132.0,980.0,35.0
1949,10,24,0,4,17.2,131.2,978.0,40.0
1949,10,24,6,4,17.5,130.4,975.0,40.0
1949,10,24,12,4,17.7,129.8,973.0,40.0
1949,10,24,18,4,17.9,129.2,970.0,40.0
1949,10,25,0,5,18.2,128.5,960.0,50.0
1949,10,25,6,5,18.4,128.0,950.0,50.0
1949,10,25,12,6,18.7,127.4,940.0,60.0
1949,10,25,18,6,19.3,127.2,930.0,70.0
1949,10,26,0,6,20.2,127.3,930.0,70.0
1949,10,26,6,6,21.3,127.9,930.0,70.0
1949,10,26,12,6,22.7,128.7,930.0,70.0
1949,10,26,18,6,24.3,129.8,930.0,70.0
1949,10,27,0,6,26.2,131.1,935.0,65.0
1949,10,27,6,6,28.3,133.3,940.0,60.0
1949,10,27,12,6,30.1,136.0,945.0,55.0
1949,10,27,18,6,32.5,139.1,950.0,55.0
1949,10,28,0,6,35.3,144.0,952.0,55.0
1949,10,28,6,5,38.7,150.0,955.0,50.0
1949,10,28,12,5,40.6,154.6,957.0,50.0
1949,10,28,18,5,42.1,158.9,960.0,45.0
1949,10,29,0,9,44.0,164.0,965.0,40.0
1949,10,29,6,9,45.3,167.8,970.0,0.0
1949,10,29,12,9,47.0,173.5,975.0,0.0
1949,10,29,18,9,48.2,178.4,980.0,0.0
