year,month,day,hour,power,lat,lng,PRES,WND
1950,9,11,18,0,13.5,152.6,1004.0,0.0
1950,9,12,0,0,13.7,151.9,1004.0,0.0
1950,9,12,6,0,13.8,151.0,1004.0,0.0
1950,9,12,12,0,14.0,150.0,1004.0,0.0
1950,9,12,18,0,14.2,149.0,1004.0,0.0
1950,9,13,0,0,14.5,147.9,1004.0,0.0
1950,9,13,6,0,14.8,146.4,1004.0,0.0
1950,9,13,12,0,15.0,145.0,1004.0,0.0
1950,9,13,18,0,15.2,143.5,1004.0,0.0
1950,9,14,0,1,15.2,142.0,1004.0,15.0
1950,9,14,6,2,15.3,140.6,1002.0,20.0
1950,9,14,12,2,15.3,139.1,1002.0,20.0
1950,9,14,18,2,15.5,137.6,1002.0,20.0
1950,9,15,0,2,16.0,136.3,1000.0,20.0
1950,9,15,6,2,16.9,135.0,1000.0,20.0
1950,9,15,12,2,17.5,134.1,998.0,20.0
1950,9,15,18,2,18.3,133.4,997.0,20.0
1950,9,16,0,2,19.2,133.1,995.0,20.0
1950,9,16,6,2,19.8,133.3,994.0,20.0
1950,9,16,12,3,20.1,133.6,992.0,25.0
1950,9,16,18,3,20.5,133.9,991.0,25.0
1950,9,17,0,3,21.0,134.0,990.0,25.0
1950,9,17,6,3,21.5,134.0,985.0,25.0
1950,9,17,12,3,21.9,134.0,985.0,25.0
1950,9,17,18,3,22.3,134.1,982.0,30.0
1950,9,18,0,3,22.5,134.3,980.0,30.0
1950,9,18,6,3,22.7,134.7,985.0,25.0
1950,9,18,12,2,22.9,135.4,990.0,20.0
1950,9,18,18,2,23.1,136.2,995.0,20.0
1950,9,19,0,1,23.2,137.2,1000.0,15.0
1950,9,19,6,0,23.3,138.0,1002.0,0.0
