year,month,day,hour,power,lat,lng,PRES,WND
1950,9,12,18,0,14.3,137.4,1005.0,0.0
1950,9,13,0,0,14.7,136.7,1004.0,0.0
1950,9,13,6,0,15.1,136.1,1003.0,0.0
1950,9,13,12,0,15.4,135.3,1001.0,0.0
1950,9,13,18,1,15.6,134.6,999.0,15.0
1950,9,14,0,1,15.7,134.0,998.0,15.0
1950,9,14,6,1,15.7,133.3,998.0,15.0
1950,9,14,12,2,15.8,132.5,996.0,20.0
1950,9,14,18,2,15.8,131.8,996.0,20.0
1950,9,15,0,2,16.0,131.0,996.0,20.0
1950,9,15,6,2,16.2,130.0,996.0,20.0
1950,9,15,12,2,16.5,129.0,994.0,20.0
1950,9,15,18,2,16.9,128.2,994.0,20.0
1950,9,16,0,2,17.5,127.5,994.0,20.0
1950,9,16,6,3,18.5,127.3,992.0,25.0
1950,9,16,12,3,19.8,128.0,992.0,25.0
1950,9,16,18,3,21.1,129.4,992.0,25.0
1950,9,17,0,3,22.2,130.5,992.0,25.0
1950,9,17,6,3,23.0,131.5,990.0,25.0
1950,9,17,12,3,23.7,132.4,990.0,25.0
1950,9,17,18,3,24.4,133.3,990.0,25.0
1950,9,18,0,3,25.3,134.5,988.0,30.0
1950,9,18,6,3,26.7,136.3,986.0,30.0
1950,9,18,12,3,29.0,138.5,983.0,30.0
1950,9,18,18,4,31.7,140.3,980.0,35.0
1950,9,19,0,9,35.1,142.0,980.0,35.0
1950,9,19,6,9,39.7,144.5,981.0,0.0
1950,9,19,12,9,42.4,149.9,983.0,0.0
1950,9,19,18,9,45.0,156.0,984.0,0.0
1950,9,20,0,9,49.0,160.0,985.0,0.0
1950,9,20,6,9,51.5,165.0,982.0,0.0
1950,9,20,12,9,52.0,171.0,978.0,0.0
1950,9,20,18,9,51.8,176.3,974.0,0.0
