year,month,day,hour,power,lat,lng,PRES,WND
1951,12,10,0,0,9.0,143.0,1006.0,10.0
1951,12,10,6,1,9.0,142.0,1004.0,12.0
1951,12,10,12,1,9.0,141.0,1004.0,12.0
1951,12,10,18,1,9.1,139.9,1000.0,15.0
1951,12,11,0,2,9.2,138.9,998.0,20.0
1951,12,11,6,2,9.3,137.8,994.0,20.0
1951,12,11,12,3,9.7,136.4,990.0,25.0
1951,12,11,18,3,10.5,135.0,990.0,25.0
1951,12,12,0,3,11.3,134.0,990.0,25.0
1951,12,12,6,3,12.2,133.0,990.0,25.0
1951,12,12,12,3,12.7,132.6,990.0,25.0
1951,12,12,18,3,13.1,132.0,985.0,30.0
1951,12,13,0,3,13.8,131.5,985.0,30.0
1951,12,13,6,4,14.4,131.0,980.0,40.0
1951,12,13,12,4,14.9,130.8,980.0,40.0
1951,12,13,18,4,15.4,130.7,980.0,40.0
1951,12,14,0,4,16.0,130.7,980.0,40.0
1951,12,14,6,4,17.6,132.3,980.0,35.0
1951,12,14,12,4,18.0,133.9,980.0,35.0
1951,12,14,18,4,18.3,135.0,980.0,35.0
1951,12,15,0,4,18.8,136.5,980.0,35.0
1951,12,15,6,4,19.9,139.1,980.0,35.0
1951,12,15,12,9,21.2,142.0,980.0,35.0
1951,12,15,18,9,22.8,145.0,986.0,30.0
1951,12,16,0,9,25.0,150.0,990.0,25.0
1951,12,16,6,9,26.6,154.0,990.0,20.0
