year,month,day,hour,power,lat,lng,PRES,WND
1951,8,27,0,0,11.3,144.6,1008.0,0.0
1951,8,27,6,0,11.6,144.1,1006.0,10.0
1951,8,27,12,1,11.8,143.6,1004.0,12.0
1951,8,27,18,1,12.0,142.8,1002.0,15.0
1951,8,28,0,1,12.4,141.5,1002.0,15.0
1951,8,28,6,2,13.0,140.0,1000.0,20.0
1951,8,28,12,2,13.7,138.8,1000.0,20.0
1951,8,28,18,2,14.4,137.5,1000.0,20.0
1951,8,29,0,2,15.0,136.0,1000.0,20.0
1951,8,29,6,2,15.5,134.7,1000.0,20.0
1951,8,29,12,2,16.0,133.7,998.0,20.0
1951,8,29,18,2,16.4,132.9,998.0,20.0
1951,8,30,0,2,16.6,132.0,995.0,20.0
1951,8,30,6,3,17.0,131.0,990.0,25.0
1951,8,30,12,3,17.5,129.3,990.0,25.0
1951,8,30,18,3,17.6,127.7,989.0,25.0
1951,8,31,0,4,17.5,125.9,980.0,35.0
1951,8,31,6,4,17.4,125.1,980.0,35.0
1951,8,31,12,4,17.5,124.2,970.0,40.0
1951,8,31,18,4,17.7,123.4,970.0,40.0
1951,9,1,0,4,18.0,122.5,970.0,40.0
1951,9,1,6,4,18.3,121.0,975.0,35.0
1951,9,1,12,4,18.5,119.6,975.0,35.0
1951,9,1,18,4,18.5,117.9,975.0,40.0
1951,9,2,0,4,18.7,115.9,975.0,40.0
1951,9,2,6,4,19.2,114.2,975.0,40.0
1951,9,2,12,4,19.6,112.5,975.0,40.0
1951,9,2,18,4,19.7,111.0,975.0,40.0
1951,9,3,0,3,19.5,109.1,985.0,30.0
1951,9,3,6,3,19.2,107.4,990.0,25.0
1951,9,3,12,2,19.0,105.5,995.0,20.0
1951,9,3,18,1,19.0,103.5,1000.0,15.0
