year,month,day,hour,power,lat,lng,PRES,WND
1951,11,16,12,1,8.8,143.0,1006.0,12.0
1951,11,16,18,1,8.9,141.5,1004.0,15.0
1951,11,17,0,2,8.9,140.0,1002.0,20.0
1951,11,17,6,2,9.0,138.5,1000.0,20.0
1951,11,17,12,3,9.1,137.0,1000.0,25.0
1951,11,17,18,3,9.2,135.9,1000.0,25.0
1951,11,18,0,3,9.5,134.5,996.0,30.0
1951,11,18,6,4,9.7,133.4,990.0,35.0
1951,11,18,12,4,10.0,132.5,990.0,35.0
1951,11,18,18,4,10.5,131.7,990.0,35.0
1951,11,19,0,4,10.7,130.9,990.0,35.0
1951,11,19,6,4,10.7,130.0,990.0,35.0
1951,11,19,12,4,10.7,129.2,990.0,35.0
1951,11,19,18,4,10.7,128.3,985.0,40.0
1951,11,20,0,4,10.7,127.5,985.0,40.0
1951,11,20,6,4,11.0,126.3,985.0,40.0
1951,11,20,12,4,11.5,125.3,990.0,35.0
1951,11,20,18,4,11.8,124.4,990.0,35.0
1951,11,21,0,4,12.2,123.5,990.0,35.0
1951,11,21,6,3,12.4,122.6,990.0,30.0
1951,11,21,12,3,12.6,121.6,990.0,25.0
1951,11,21,18,3,12.8,120.7,990.0,25.0
1951,11,22,0,3,13.0,119.8,990.0,25.0
1951,11,22,6,3,13.4,118.8,990.0,30.0
1951,11,22,12,3,13.7,118.0,990.0,30.0
1951,11,22,18,3,14.2,117.2,990.0,30.0
1951,11,23,0,4,14.7,116.5,990.0,35.0
1951,11,23,6,4,15.1,115.9,990.0,35.0
1951,11,23,12,4,15.1,115.3,990.0,35.0
1951,11,23,18,4,15.0,114.6,990.0,35.0
1951,11,24,0,3,14.7,114.0,992.0,30.0
1951,11,24,6,3,14.4,113.4,992.0,30.0
1951,11,24,12,3,14.0,112.5,992.0,30.0
1951,11,24,18,3,13.6,111.6,992.0,30.0
1951,11,25,0,3,13.4,110.5,995.0,25.0
1951,11,25,6,3,13.2,109.5,995.0,25.0
1951,11,25,12,2,13.0,108.6,1000.0,20.0
1951,11,25,18,1,12.9,107.5,1005.0,15.0
1951,11,26,0,0,12.7,106.6,1010.0,0.0
