year,month,day,hour,power,lat,lng,PRES,WND
1952,12,18,0,3,7.5,141.0,996.0,25.0
1952,12,18,6,3,8.1,139.1,996.0,25.0
1952,12,18,12,3,8.4,137.5,996.0,30.0
1952,12,18,18,3,8.6,136.5,990.0,30.0
1952,12,19,0,4,8.9,135.5,990.0,35.0
1952,12,19,6,4,9.3,134.5,990.0,35.0
1952,12,19,12,4,9.8,133.3,990.0,35.0
1952,12,19,18,4,10.4,132.0,988.0,35.0
1952,12,20,0,4,11.1,130.5,988.0,35.0
1952,12,20,6,4,11.6,128.9,988.0,35.0
1952,12,20,12,4,12.1,127.5,988.0,35.0
1952,12,20,18,3,12.2,125.9,990.0,30.0
1952,12,21,0,3,12.3,124.7,990.0,30.0
1952,12,21,6,3,12.3,123.6,990.0,25.0
1952,12,21,12,3,12.3,122.7,990.0,25.0
1952,12,21,18,3,12.5,121.5,990.0,25.0
1952,12,22,0,3,12.5,120.0,990.0,30.0
1952,12,22,6,3,12.8,118.4,990.0,30.0
1952,12,22,12,4,12.9,117.0,988.0,35.0
1952,12,22,18,4,13.0,116.0,988.0,35.0
1952,12,23,0,4,13.3,115.0,988.0,35.0
1952,12,23,6,4,13.6,113.9,988.0,35.0
1952,12,23,12,4,13.8,112.7,990.0,35.0
1952,12,23,18,3,14.1,111.5,990.0,30.0
1952,12,24,0,3,14.5,110.2,1000.0,25.0
1952,12,24,6,1,14.6,108.9,1005.0,15.0
