year,month,day,hour,power,lat,lng,PRES,WND
1952,8,4,6,1,15.7,139.3,1004.0,15.0
1952,8,4,12,2,16.7,138.4,1000.0,20.0
1952,8,4,18,2,18.0,137.4,998.0,20.0
1952,8,5,0,2,19.5,137.0,998.0,20.0
1952,8,5,6,2,21.0,138.0,995.0,20.0
1952,8,5,12,2,22.2,139.5,995.0,20.0
1952,8,5,18,2,23.0,141.0,995.0,20.0
1952,8,6,0,3,23.8,142.0,995.0,25.0
1952,8,6,6,3,25.1,142.5,995.0,25.0
1952,8,6,12,3,26.7,142.0,990.0,25.0
1952,8,6,18,3,29.0,141.2,985.0,30.0
1952,8,7,0,2,30.4,140.4,995.0,20.0
1952,8,7,6,1,31.7,139.8,998.0,15.0
