year,month,day,hour,power,lat,lng,PRES,WND
1952,8,28,0,0,8.0,137.0,1004.0,0.0
1952,8,28,6,0,9.0,136.0,1004.0,0.0
1952,8,28,12,0,9.5,134.8,1003.0,0.0
1952,8,28,18,0,9.7,133.5,1003.0,0.0
1952,8,29,0,0,10.0,132.0,1003.0,0.0
1952,8,29,6,1,10.2,130.9,1002.0,15.0
1952,8,29,12,1,10.5,130.0,1002.0,15.0
1952,8,29,18,1,11.0,129.0,1002.0,15.0
1952,8,30,0,2,11.9,128.0,998.0,20.0
1952,8,30,6,2,12.9,126.9,998.0,20.0
1952,8,30,12,2,14.1,125.6,998.0,20.0
1952,8,30,18,2,15.3,124.5,996.0,20.0
1952,8,31,0,3,16.6,123.5,992.0,25.0
1952,8,31,6,3,18.1,122.7,992.0,25.0
1952,8,31,12,3,19.2,121.9,992.0,30.0
1952,8,31,18,4,20.3,121.0,985.0,35.0
1952,9,1,0,4,21.6,120.3,985.0,35.0
1952,9,1,6,3,24.0,119.7,990.0,25.0
1952,9,1,12,2,26.5,119.4,992.0,20.0
1952,9,1,18,2,28.0,119.8,992.0,20.0
1952,9,2,0,2,29.3,120.3,992.0,20.0
1952,9,2,6,2,31.0,121.1,992.0,20.0
1952,9,2,12,3,32.4,122.1,990.0,25.0
1952,9,2,18,3,33.8,123.1,990.0,25.0
1952,9,3,0,3,35.1,124.8,990.0,25.0
1952,9,3,6,3,36.4,126.9,990.0,25.0
1952,9,3,12,3,37.8,129.2,988.0,30.0
1952,9,3,18,9,39.5,131.5,984.0,30.0
1952,9,4,0,9,40.6,133.3,983.0,30.0
1952,9,4,6,9,42.0,136.0,994.0,20.0
1952,9,4,12,9,43.0,138.6,998.0,15.0
