year,month,day,hour,power,lat,lng,PRES,WND
1952,10,15,6,0,15.0,128.0,1006.0,0.0
1952,10,15,12,0,15.0,127.0,1006.0,0.0
1952,10,15,18,0,15.0,126.0,1006.0,0.0
1952,10,16,0,0,14.5,125.0,1006.0,0.0
1952,10,16,6,0,14.0,124.0,1004.0,0.0
1952,10,16,12,0,13.3,123.0,1004.0,0.0
1952,10,16,18,0,13.1,122.2,1004.0,0.0
1952,10,17,0,0,12.9,121.3,1004.0,0.0
1952,10,17,6,0,12.9,120.4,1004.0,0.0
1952,10,17,12,1,12.9,119.5,1004.0,15.0
1952,10,17,18,1,13.1,118.5,1002.0,15.0
1952,10,18,0,1,13.2,117.4,1000.0,15.0
1952,10,18,6,1,13.2,116.4,1000.0,15.0
1952,10,18,12,2,13.1,115.5,1000.0,20.0
1952,10,18,18,2,12.9,114.5,1000.0,20.0
1952,10,19,0,2,12.6,113.5,1000.0,20.0
1952,10,19,6,3,12.3,112.7,996.0,25.0
1952,10,19,12,4,12.1,111.9,984.0,35.0
1952,10,19,18,4,11.9,111.1,980.0,35.0
1952,10,20,0,5,11.6,110.5,975.0,45.0
1952,10,20,6,4,11.4,109.7,975.0,40.0
1952,10,20,12,4,11.3,108.7,975.0,40.0
1952,10,20,18,3,11.6,107.1,985.0,30.0
1952,10,21,0,3,12.3,106.0,990.0,25.0
1952,10,21,6,1,12.7,104.4,994.0,15.0
1952,10,21,12,1,13.1,103.4,994.0,15.0
1952,10,21,18,1,13.3,102.0,994.0,15.0
1952,10,22,0,1,13.6,101.2,994.0,15.0
1952,10,22,6,1,13.7,99.3,996.0,15.0
1952,10,22,12,0,13.7,98.0,998.0,0.0
