year,month,day,hour,power,lat,lng,PRES,WND
1953,7,27,6,2,20.9,149.7,995.0,20.0
1953,7,27,12,2,21.2,149.4,995.0,20.0
1953,7,27,18,2,21.6,149.1,995.0,20.0
1953,7,28,0,3,22.0,148.8,990.0,25.0
1953,7,28,6,3,22.5,148.4,985.0,30.0
1953,7,28,12,4,23.1,148.1,980.0,35.0
1953,7,28,18,4,23.7,147.8,975.0,40.0
1953,7,29,0,5,24.4,147.4,970.0,45.0
1953,7,29,6,5,24.9,147.0,970.0,45.0
1953,7,29,12,5,25.5,146.4,970.0,45.0
1953,7,29,18,5,26.1,145.7,970.0,45.0
1953,7,30,0,5,26.6,144.9,970.0,45.0
1953,7,30,6,5,27.0,144.0,968.0,50.0
1953,7,30,12,5,27.4,143.1,968.0,50.0
1953,7,30,18,5,27.9,142.0,970.0,45.0
1953,7,31,0,5,28.3,141.7,970.0,45.0
1953,7,31,6,5,28.9,141.4,971.0,45.0
1953,7,31,12,5,29.7,141.1,973.0,45.0
1953,7,31,18,4,30.5,141.0,975.0,40.0
1953,8,1,0,4,31.4,140.9,975.0,40.0
1953,8,1,6,4,32.5,141.2,977.0,40.0
1953,8,1,12,4,33.5,141.5,980.0,35.0
1953,8,1,18,4,34.8,142.0,980.0,35.0
1953,8,2,0,4,35.8,142.6,981.0,35.0
1953,8,2,6,3,37.0,143.3,986.0,30.0
1953,8,2,12,3,38.3,144.0,988.0,30.0
1953,8,2,18,3,40.5,145.3,990.0,25.0
1953,8,3,0,9,43.0,147.4,995.0,20.0
1953,8,3,6,9,45.6,152.8,995.0,20.0
