year,month,day,hour,power,lat,lng,PRES,WND
1953,7,31,18,0,23.5,136.8,1002.0,0.0
1953,8,1,0,0,23.5,138.3,1002.0,0.0
1953,8,1,6,1,23.7,139.6,1000.0,15.0
1953,8,1,12,3,24.4,140.5,995.0,25.0
1953,8,1,18,3,25.0,141.2,994.0,25.0
1953,8,2,0,3,25.4,142.0,993.0,30.0
1953,8,2,6,4,25.5,142.4,990.0,35.0
1953,8,2,12,4,25.9,142.8,990.0,35.0
1953,8,2,18,4,26.3,142.8,990.0,35.0
1953,8,3,0,4,26.7,142.3,990.0,35.0
1953,8,3,6,4,26.7,141.7,990.0,35.0
1953,8,3,12,4,26.7,141.2,990.0,35.0
1953,8,3,18,4,26.8,140.6,990.0,35.0
1953,8,4,0,4,27.3,140.2,989.0,35.0
1953,8,4,6,4,28.2,139.5,983.0,35.0
1953,8,4,12,4,28.8,139.0,982.0,35.0
1953,8,4,18,4,29.2,138.7,983.0,35.0
1953,8,5,0,4,29.8,138.2,984.0,35.0
1953,8,5,6,4,30.1,138.0,984.0,35.0
1953,8,5,12,4,30.5,137.9,985.0,35.0
1953,8,5,18,3,31.0,138.0,986.0,30.0
1953,8,6,0,3,31.3,138.2,986.0,30.0
1953,8,6,6,3,31.6,138.5,987.0,30.0
1953,8,6,12,3,31.8,138.8,988.0,30.0
1953,8,6,18,3,32.0,139.0,990.0,25.0
1953,8,7,0,3,32.4,139.6,990.0,25.0
1953,8,7,6,2,33.0,140.2,992.0,20.0
1953,8,7,12,2,33.4,141.0,992.0,20.0
1953,8,7,18,2,33.8,141.4,994.0,20.0
1953,8,8,0,2,34.4,142.0,994.0,20.0
1953,8,8,6,2,35.4,142.8,995.0,20.0
1953,8,8,12,2,36.5,143.6,995.0,20.0
1953,8,8,18,1,37.7,144.2,998.0,15.0
1953,8,9,0,1,38.8,144.7,998.0,15.0
1953,8,9,6,1,40.1,145.1,998.0,15.0
1953,8,9,12,1,41.2,145.8,998.0,15.0
1953,8,9,18,0,42.8,146.0,1002.0,0.0
1953,8,10,0,0,44.5,146.0,1004.0,0.0
1953,8,10,6,0,47.0,146.0,1006.0,0.0
