year,month,day,hour,power,lat,lng,PRES,WND
1953,8,9,12,0,16.7,127.0,1002.0,0.0
1953,8,9,18,0,17.0,126.7,1000.0,0.0
1953,8,10,0,0,17.2,126.4,1000.0,0.0
1953,8,10,6,1,17.5,126.2,1000.0,15.0
1953,8,10,12,2,17.7,125.9,998.0,20.0
1953,8,10,18,2,18.0,125.5,998.0,20.0
1953,8,11,0,2,18.2,125.1,995.0,20.0
1953,8,11,6,3,18.4,124.6,990.0,25.0
1953,8,11,12,3,18.5,123.5,985.0,30.0
1953,8,11,18,3,18.5,122.4,985.0,30.0
1953,8,12,0,3,18.7,120.5,985.0,30.0
1953,8,12,6,4,18.9,119.1,985.0,35.0
1953,8,12,12,4,19.0,117.9,980.0,40.0
1953,8,12,18,5,19.0,116.7,975.0,45.0
1953,8,13,0,5,19.2,115.5,970.0,45.0
1953,8,13,6,5,19.5,114.5,960.0,50.0
1953,8,13,12,5,19.7,113.2,960.0,50.0
1953,8,13,18,5,19.8,112.0,960.0,45.0
1953,8,14,0,4,19.8,110.7,962.0,40.0
1953,8,14,6,4,19.5,109.6,970.0,35.0
1953,8,14,12,4,19.2,108.6,975.0,35.0
1953,8,14,18,4,19.1,107.9,980.0,35.0
1953,8,15,0,3,19.2,107.0,984.0,30.0
1953,8,15,6,3,19.3,106.0,986.0,25.0
1953,8,15,12,2,19.4,105.2,990.0,20.0
1953,8,15,18,1,19.5,104.5,993.0,12.0
1953,8,16,0,0,19.5,104.0,995.0,9.0
1953,8,16,6,0,19.5,103.0,997.0,9.0
