year,month,day,hour,power,lat,lng,PRES,WND
1953,8,23,6,0,10.4,162.0,1006.0,0.0
1953,8,23,12,0,10.5,160.5,1006.0,0.0
1953,8,23,18,0,10.5,159.0,1006.0,0.0
1953,8,24,0,1,10.7,158.0,1006.0,15.0
1953,8,24,6,2,11.0,157.2,999.0,20.0
1953,8,24,12,2,11.3,156.4,998.0,20.0
1953,8,24,18,3,11.8,155.5,997.0,30.0
1953,8,25,0,4,12.2,154.7,994.0,35.0
1953,8,25,6,4,12.7,154.2,987.0,40.0
1953,8,25,12,5,13.3,153.4,986.0,45.0
1953,8,25,18,5,14.0,152.1,986.0,45.0
1953,8,26,0,5,14.7,150.7,986.0,45.0
1953,8,26,6,5,15.2,149.5,980.0,50.0
1953,8,26,12,5,15.8,149.1,972.0,50.0
1953,8,26,18,6,16.4,148.9,963.0,55.0
1953,8,27,0,6,17.2,148.4,958.0,55.0
1953,8,27,6,6,17.8,146.3,952.0,55.0
1953,8,27,12,6,18.3,144.6,950.0,55.0
1953,8,27,18,6,18.9,143.0,949.0,60.0
1953,8,28,0,6,19.4,141.3,947.0,65.0
1953,8,28,6,6,19.7,139.4,947.0,65.0
1953,8,28,12,6,19.8,137.4,946.0,65.0
1953,8,28,18,6,20.0,135.5,944.0,65.0
1953,8,29,0,6,20.7,133.0,942.0,65.0
1953,8,29,6,6,20.6,131.3,943.0,65.0
1953,8,29,12,6,20.0,130.2,951.0,65.0
1953,8,29,18,6,19.6,129.5,964.0,55.0
1953,8,30,0,5,19.8,128.4,977.0,50.0
1953,8,30,6,5,19.3,126.7,982.0,50.0
1953,8,30,12,5,18.5,125.7,978.0,50.0
1953,8,30,18,5,18.4,125.1,973.0,50.0
1953,8,31,0,6,18.5,124.4,969.0,55.0
1953,8,31,6,6,19.3,123.4,964.0,55.0
1953,8,31,12,6,20.0,122.4,960.0,55.0
1953,8,31,18,6,20.8,121.4,956.0,60.0
1953,9,1,0,6,21.5,120.3,952.0,65.0
1953,9,1,6,6,21.8,118.7,950.0,65.0
1953,9,1,12,5,22.0,117.2,960.0,50.0
1953,9,1,18,4,22.5,115.7,960.0,40.0
1953,9,2,0,3,23.1,113.9,975.0,25.0
1953,9,2,6,0,23.4,112.3,985.0,10.0
1953,9,2,12,0,23.8,111.0,995.0,9.0
1953,9,2,18,0,24.0,109.7,1000.0,9.0
1953,9,3,0,0,24.2,108.8,1000.0,9.0
1953,9,3,6,0,24.7,108.0,1002.0,9.0
