year,month,day,hour,power,lat,lng,PRES,WND
1954,10,26,18,0,8.5,141.4,1006.0,0.0
1954,10,27,0,0,8.8,140.6,1006.0,0.0
1954,10,27,6,0,9.4,139.7,1006.0,0.0
1954,10,27,12,0,10.0,139.1,1006.0,0.0
1954,10,27,18,0,10.8,138.5,1004.0,0.0
1954,10,28,0,0,11.6,137.8,1002.0,0.0
1954,10,28,6,0,12.0,137.4,1002.0,0.0
1954,10,28,12,0,12.3,137.0,1002.0,0.0
1954,10,28,18,1,12.7,136.7,1000.0,15.0
1954,10,29,0,1,12.8,136.2,1000.0,15.0
1954,10,29,6,2,12.9,135.0,999.0,20.0
1954,10,29,12,2,13.2,134.3,997.0,20.0
1954,10,29,18,3,13.4,133.8,995.0,25.0
1954,10,30,0,3,13.6,133.5,991.0,25.0
1954,10,30,6,4,13.8,133.2,984.0,35.0
1954,10,30,12,4,14.1,132.9,976.0,40.0
1954,10,30,18,5,14.3,132.6,969.0,45.0
1954,10,31,0,5,14.6,132.3,961.0,50.0
1954,10,31,6,5,15.0,131.6,960.0,50.0
1954,10,31,12,5,15.4,131.0,960.0,50.0
1954,10,31,18,5,15.7,130.6,960.0,50.0
1954,11,1,0,5,16.2,130.2,960.0,50.0
1954,11,1,6,5,16.7,129.7,960.0,50.0
1954,11,1,12,6,17.0,129.5,955.0,55.0
1954,11,1,18,6,17.2,129.5,920.0,75.0
1954,11,2,0,6,17.4,129.6,904.0,80.0
1954,11,2,6,6,17.6,129.6,900.0,85.0
1954,11,2,12,6,17.9,129.3,909.0,80.0
1954,11,2,18,6,18.0,128.8,916.0,75.0
1954,11,3,0,6,18.1,128.3,923.0,70.0
1954,11,3,6,6,18.3,127.7,925.0,70.0
1954,11,3,12,6,18.6,127.3,925.0,70.0
1954,11,3,18,6,18.8,126.8,925.0,70.0
1954,11,4,0,6,19.1,125.8,924.0,70.0
1954,11,4,6,6,19.2,124.0,923.0,70.0
1954,11,4,12,6,19.4,122.2,928.0,70.0
1954,11,4,18,6,19.7,120.9,932.0,70.0
1954,11,5,0,6,19.8,119.5,941.0,65.0
1954,11,5,6,6,20.1,118.2,946.0,60.0
1954,11,5,12,6,20.4,116.9,949.0,60.0
1954,11,5,18,6,21.0,115.7,952.0,55.0
1954,11,6,0,6,21.4,114.7,954.0,55.0
1954,11,6,6,4,21.8,113.7,970.0,40.0
1954,11,6,12,2,21.9,112.6,995.0,20.0
1954,11,6,18,0,21.5,111.1,1005.0,10.0
1954,11,7,0,0,20.4,110.4,1008.0,10.0
