year,month,day,hour,power,lat,lng,PRES,WND
1955,7,15,6,0,22.9,153.0,1006.0,10.0
1955,7,15,12,0,23.2,152.3,1006.0,10.0
1955,7,15,18,1,23.6,151.6,1004.0,12.0
1955,7,16,0,1,23.9,150.8,1004.0,12.0
1955,7,16,6,1,24.2,150.0,1002.0,15.0
1955,7,16,12,1,24.6,149.3,1002.0,15.0
1955,7,16,18,1,24.8,148.7,1002.0,15.0
1955,7,17,0,2,25.0,148.2,1000.0,20.0
1955,7,17,6,2,25.9,146.8,1000.0,20.0
1955,7,17,12,2,27.2,145.8,998.0,20.0
1955,7,17,18,2,28.6,144.7,995.0,20.0
1955,7,18,0,3,29.6,143.4,993.0,25.0
1955,7,18,6,3,30.2,141.7,991.0,25.0
1955,7,18,12,3,30.3,139.8,989.0,30.0
1955,7,18,18,3,30.3,137.8,987.0,30.0
1955,7,19,0,3,30.5,135.7,986.0,30.0
1955,7,19,6,3,30.5,134.9,989.0,30.0
1955,7,19,12,3,30.6,134.0,992.0,25.0
1955,7,19,18,2,30.7,133.1,995.0,20.0
1955,7,20,0,2,30.2,133.0,994.0,20.0
1955,7,20,6,3,30.2,134.0,990.0,25.0
1955,7,20,12,3,30.3,134.9,987.0,25.0
1955,7,20,18,3,30.4,136.3,984.0,25.0
1955,7,21,0,3,30.5,137.2,981.0,30.0
1955,7,21,6,3,30.5,138.1,978.0,30.0
1955,7,21,12,4,30.8,139.2,974.0,35.0
1955,7,21,18,4,31.8,140.2,971.0,40.0
1955,7,22,0,4,32.7,141.2,967.0,40.0
1955,7,22,6,4,33.5,142.5,965.0,40.0
1955,7,22,12,4,34.4,143.4,970.0,40.0
1955,7,22,18,3,35.9,144.8,980.0,30.0
1955,7,23,0,3,37.3,146.4,990.0,25.0
1955,7,23,6,3,38.7,148.1,990.0,25.0
1955,7,23,12,3,40.0,150.0,990.0,25.0
1955,7,23,18,3,41.2,153.3,990.0,25.0
1955,7,24,0,9,42.0,155.5,990.0,25.0
1955,7,24,6,9,42.5,158.4,995.0,0.0
1955,7,24,12,9,42.0,162.0,995.0,0.0
1955,7,24,18,9,41.3,166.0,995.0,0.0
1955,7,25,0,9,41.2,168.7,995.0,0.0
1955,7,25,6,9,41.8,170.0,998.0,0.0
1955,7,25,12,9,42.5,171.5,998.0,0.0
1955,7,25,18,9,43.0,173.0,998.0,0.0
1955,7,26,0,9,44.0,174.5,998.0,0.0
1955,7,26,6,9,44.6,176.0,996.0,0.0
1955,7,26,12,9,45.0,178.0,995.0,0.0
1955,7,26,18,9,46.0,179.5,994.0,0.0
1955,7,27,0,9,47.0,179.0,992.0,0.0
1955,7,27,6,9,48.0,179.0,992.0,0.0
