year,month,day,hour,power,lat,lng,PRES,WND
1955,7,23,6,1,11.5,153.0,1002.0,15.0
1955,7,23,12,1,11.9,152.6,1002.0,15.0
1955,7,23,18,1,12.2,152.2,1002.0,15.0
1955,7,24,0,2,12.8,151.7,1002.0,20.0
1955,7,24,6,2,13.9,150.5,995.0,20.0
1955,7,24,12,3,14.8,149.7,992.0,30.0
1955,7,24,18,4,15.7,148.8,990.0,35.0
1955,7,25,0,4,16.6,148.1,987.0,40.0
1955,7,25,6,5,17.7,147.4,987.0,45.0
1955,7,25,12,5,19.1,146.4,986.0,45.0
1955,7,25,18,5,20.3,145.2,985.0,50.0
1955,7,26,0,5,21.3,143.9,985.0,50.0
1955,7,26,6,5,21.8,142.6,985.0,50.0
1955,7,26,12,4,22.8,141.1,986.0,40.0
1955,7,26,18,4,23.9,139.5,986.0,40.0
1955,7,27,0,4,24.7,138.2,986.0,40.0
1955,7,27,6,4,25.3,137.1,990.0,35.0
1955,7,27,12,4,26.0,136.0,993.0,35.0
1955,7,27,18,3,26.8,135.0,993.0,30.0
1955,7,28,0,3,27.5,133.8,995.0,30.0
1955,7,28,6,3,28.1,132.8,996.0,25.0
1955,7,28,12,2,28.8,131.6,1000.0,20.0
1955,7,28,18,2,29.5,131.0,1000.0,20.0
1955,7,29,0,2,30.0,130.6,1004.0,20.0
1955,7,29,6,2,30.8,130.5,1004.0,20.0
1955,7,29,12,1,31.5,131.0,1006.0,12.0
