year,month,day,hour,power,lat,lng,PRES,WND
1955,8,19,12,1,9.4,137.0,1006.0,12.0
1955,8,19,18,1,10.4,135.5,1006.0,12.0
1955,8,20,0,1,11.2,132.9,1005.0,15.0
1955,8,20,6,1,12.7,130.2,1005.0,15.0
1955,8,20,12,1,14.0,127.9,1005.0,15.0
1955,8,20,18,1,14.9,126.5,1005.0,15.0
1955,8,21,0,1,15.5,125.7,1002.0,15.0
1955,8,21,6,2,16.2,125.1,1000.0,20.0
1955,8,21,12,3,17.1,124.5,994.0,25.0
1955,8,21,18,3,18.1,124.0,990.0,30.0
1955,8,22,0,4,19.2,123.5,988.0,35.0
1955,8,22,6,4,20.0,122.9,985.0,40.0
1955,8,22,12,4,20.5,122.5,977.0,40.0
1955,8,22,18,5,20.9,122.3,971.0,45.0
1955,8,23,0,5,21.3,122.0,965.0,45.0
1955,8,23,6,5,21.7,121.7,965.0,45.0
1955,8,23,12,5,22.3,121.4,965.0,45.0
1955,8,23,18,4,23.3,120.5,970.0,35.0
1955,8,24,0,3,23.7,119.6,985.0,25.0
1955,8,24,6,2,24.3,118.0,990.0,20.0
1955,8,24,12,0,24.6,117.2,994.0,10.0
1955,8,24,18,0,24.9,116.3,996.0,9.0
1955,8,25,0,0,25.0,115.8,998.0,9.0
