year,month,day,hour,power,lat,lng,PRES,WND
1955,8,29,6,0,17.0,144.0,1006.0,0.0
1955,8,29,12,0,17.9,144.3,1006.0,10.0
1955,8,29,18,0,18.6,144.6,1006.0,10.0
1955,8,30,0,0,19.1,144.9,1006.0,10.0
1955,8,30,6,1,19.8,145.2,1004.0,12.0
1955,8,30,12,1,20.4,145.6,1004.0,12.0
1955,8,30,18,1,21.0,146.0,1002.0,15.0
1955,8,31,0,1,21.6,146.5,1000.0,15.0
1955,8,31,6,1,22.1,146.9,1000.0,15.0
1955,8,31,12,2,22.8,147.3,998.0,20.0
1955,8,31,18,2,23.3,147.7,995.0,20.0
1955,9,1,0,3,24.8,147.8,990.0,25.0
1955,9,1,6,3,25.9,146.9,990.0,25.0
1955,9,1,12,3,27.0,146.5,989.0,25.0
1955,9,1,18,3,28.0,146.4,988.0,30.0
1955,9,2,0,4,29.1,147.1,986.0,35.0
1955,9,2,6,4,30.5,146.5,986.0,35.0
1955,9,2,12,4,32.5,146.1,983.0,40.0
1955,9,2,18,4,34.7,146.9,979.0,40.0
1955,9,3,0,4,36.5,148.2,976.0,40.0
1955,9,3,6,4,38.5,149.8,980.0,35.0
1955,9,3,12,4,40.5,151.2,980.0,35.0
1955,9,3,18,4,43.4,153.6,980.0,35.0
1955,9,4,0,3,46.6,157.5,982.0,30.0
1955,9,4,6,9,47.5,160.5,984.0,30.0
1955,9,4,12,9,48.2,163.9,986.0,0.0
1955,9,4,18,9,48.9,166.9,986.0,0.0
1955,9,5,0,9,49.8,169.0,982.0,0.0
1955,9,5,6,9,50.3,170.4,976.0,0.0
1955,9,5,12,9,50.8,171.8,974.0,0.0
1955,9,5,18,9,51.3,173.2,970.0,0.0
1955,9,6,0,9,52.0,175.0,968.0,0.0
1955,9,6,6,9,53.0,176.6,968.0,0.0
1955,9,6,12,9,53.8,178.0,968.0,0.0
1955,9,6,18,9,54.6,179.5,968.0,0.0
