year,month,day,hour,power,lat,lng,PRES,WND
1955,9,27,12,1,13.1,144.5,1004.0,12.0
1955,9,27,18,1,13.6,143.5,1004.0,12.0
1955,9,28,0,1,14.0,142.7,1004.0,15.0
1955,9,28,6,1,14.2,142.0,1002.0,15.0
1955,9,28,12,1,14.5,141.3,1000.0,15.0
1955,9,28,18,1,14.8,140.7,1000.0,15.0
1955,9,29,0,1,15.2,139.9,1000.0,15.0
1955,9,29,6,2,15.9,139.7,998.0,20.0
1955,9,29,12,2,16.7,139.7,996.0,20.0
1955,9,29,18,2,17.5,139.7,994.0,20.0
1955,9,30,0,3,18.2,139.6,990.0,25.0
1955,9,30,6,3,18.9,139.5,990.0,25.0
1955,9,30,12,3,19.7,139.3,988.0,30.0
1955,9,30,18,4,20.5,138.7,987.0,35.0
1955,10,1,0,4,21.4,138.0,980.0,40.0
1955,10,1,6,5,22.1,137.3,974.0,45.0
1955,10,1,12,5,23.0,136.5,974.0,45.0
1955,10,1,18,5,24.2,135.9,974.0,45.0
1955,10,2,0,5,25.5,135.4,973.0,45.0
1955,10,2,6,5,26.7,134.9,969.0,50.0
1955,10,2,12,5,28.0,134.3,965.0,50.0
1955,10,2,18,5,28.7,133.9,964.0,50.0
1955,10,3,0,5,29.5,133.5,969.0,45.0
1955,10,3,6,4,30.5,133.0,970.0,40.0
1955,10,3,12,4,31.5,132.5,973.0,35.0
1955,10,3,18,3,33.1,132.1,985.0,30.0
1955,10,4,0,2,34.3,131.8,1000.0,20.0
1955,10,4,6,9,35.6,133.5,1006.0,15.0
1955,10,4,12,9,36.5,135.0,1006.0,0.0
1955,10,4,18,9,39.0,139.0,1006.0,0.0
1955,10,5,0,9,39.5,143.0,1006.0,0.0
