year,month,day,hour,power,lat,lng,PRES,WND
1955,1,1,0,0,7.7,140.0,1004.0,10.0
1955,1,1,6,1,7.4,139.0,1000.0,15.0
1955,1,1,12,1,7.2,137.7,1000.0,15.0
1955,1,1,18,1,7.0,136.5,1000.0,15.0
1955,1,2,0,2,6.9,135.3,998.0,20.0
1955,1,2,6,3,6.8,134.5,998.0,25.0
1955,1,2,12,3,6.8,133.8,997.0,25.0
1955,1,2,18,3,6.8,132.8,997.0,25.0
1955,1,3,0,3,6.8,132.0,997.0,30.0
1955,1,3,6,3,6.8,131.5,997.0,30.0
1955,1,3,12,3,6.8,130.8,997.0,30.0
1955,1,3,18,3,6.9,130.4,996.0,30.0
1955,1,4,0,3,6.9,129.8,996.0,30.0
1955,1,4,6,4,6.9,128.0,995.0,35.0
1955,1,4,12,4,6.8,126.5,995.0,35.0
1955,1,4,18,3,6.8,125.0,995.0,30.0
1955,1,5,0,3,6.9,124.0,995.0,30.0
1955,1,5,6,3,7.1,123.1,995.0,30.0
1955,1,5,12,2,7.5,122.4,1000.0,20.0
1955,1,5,18,2,8.2,121.7,1000.0,20.0
1955,1,6,0,2,8.7,121.0,1000.0,20.0
1955,1,6,6,1,9.2,120.4,1006.0,15.0
1955,1,6,12,0,9.7,119.9,1006.0,10.0
1955,1,6,18,0,10.2,119.3,1008.0,10.0
1955,1,7,0,0,10.6,118.7,1008.0,0.0
1955,1,7,6,0,10.6,118.0,1008.0,0.0
1955,1,7,12,0,10.2,117.3,1008.0,0.0
1955,1,7,18,0,9.7,116.7,1008.0,0.0
1955,1,8,0,0,9.4,116.2,1008.0,0.0
1955,1,8,6,0,9.0,115.6,1008.0,0.0
1955,1,8,12,0,8.5,115.0,1008.0,0.0
