year,month,day,hour,power,lat,lng,PRES,WND
1956,8,25,0,0,14.5,143.0,1006.0,0.0
1956,8,25,6,1,14.5,142.0,1004.0,15.0
1956,8,25,12,1,15.0,141.0,1004.0,15.0
1956,8,25,18,1,15.6,140.5,1004.0,15.0
1956,8,26,0,1,16.3,139.8,1004.0,15.0
1956,8,26,6,2,17.4,138.5,1000.0,20.0
1956,8,26,12,2,18.4,137.1,997.0,20.0
1956,8,26,18,3,19.0,135.4,994.0,25.0
1956,8,27,0,3,19.6,133.6,990.0,30.0
1956,8,27,6,4,19.8,132.0,985.0,35.0
1956,8,27,12,4,19.7,130.4,979.0,40.0
1956,8,27,18,4,18.8,128.9,975.0,40.0
1956,8,28,0,4,18.1,127.7,975.0,40.0
1956,8,28,6,4,17.7,126.3,975.0,40.0
1956,8,28,12,4,17.6,124.3,975.0,40.0
1956,8,28,18,4,17.9,122.5,980.0,40.0
1956,8,29,0,4,17.9,120.2,980.0,40.0
1956,8,29,6,4,17.6,118.5,980.0,40.0
1956,8,29,12,5,17.2,117.0,975.0,45.0
1956,8,29,18,5,17.1,115.3,970.0,50.0
1956,8,30,0,6,17.1,113.9,960.0,55.0
1956,8,30,6,6,17.2,112.5,960.0,55.0
1956,8,30,12,5,17.4,111.4,960.0,50.0
1956,8,30,18,5,17.7,110.4,965.0,45.0
1956,8,31,0,4,17.9,109.7,970.0,40.0
1956,8,31,6,4,18.0,109.0,975.0,40.0
1956,8,31,12,4,18.0,108.1,980.0,35.0
1956,8,31,18,4,18.0,106.9,980.0,35.0
1956,9,1,0,3,18.1,105.5,985.0,25.0
1956,9,1,6,2,18.2,104.0,990.0,20.0
1956,9,1,12,1,18.5,102.5,996.0,15.0
