year,month,day,hour,power,lat,lng,PRES,WND
1956,9,17,6,1,12.0,128.9,1000.0,15.0
1956,9,17,12,3,12.0,128.1,995.0,25.0
1956,9,17,18,3,12.0,127.3,992.0,30.0
1956,9,18,0,4,12.0,126.6,988.0,35.0
1956,9,18,6,4,12.2,125.8,982.0,40.0
1956,9,18,12,4,12.3,125.3,987.0,35.0
1956,9,18,18,4,12.4,124.8,990.0,35.0
1956,9,19,0,4,12.7,124.4,992.0,35.0
1956,9,19,6,4,13.5,124.0,987.0,35.0
1956,9,19,12,4,14.4,124.0,983.0,40.0
1956,9,19,18,5,15.1,124.0,978.0,45.0
1956,9,20,0,5,16.3,123.9,974.0,50.0
1956,9,20,6,5,17.3,123.7,972.0,50.0
1956,9,20,12,6,18.3,123.3,963.0,55.0
1956,9,20,18,6,18.9,123.0,950.0,60.0
1956,9,21,0,6,19.8,122.4,940.0,65.0
1956,9,21,6,6,20.4,122.0,937.0,70.0
1956,9,21,12,6,20.8,121.6,937.0,75.0
1956,9,21,18,6,21.2,121.3,942.0,70.0
1956,9,22,0,6,21.5,121.1,945.0,60.0
1956,9,22,6,5,22.0,120.8,965.0,45.0
1956,9,22,12,4,22.5,120.4,980.0,35.0
1956,9,22,18,3,22.9,119.8,985.0,30.0
1956,9,23,0,3,23.4,119.3,985.0,30.0
1956,9,23,6,3,24.0,119.0,985.0,25.0
1956,9,23,12,2,24.8,118.8,992.0,20.0
1956,9,23,18,1,26.0,118.4,996.0,15.0
1956,9,24,0,0,27.5,118.0,1002.0,9.0
1956,9,24,6,9,28.8,118.8,1002.0,9.0
1956,9,24,12,9,31.3,120.8,1002.0,10.0
1956,9,24,18,9,32.3,124.0,1002.0,10.0
1956,9,25,0,9,33.2,127.0,1002.0,12.0
1956,9,25,6,9,34.0,129.1,1001.0,12.0
1956,9,25,12,9,36.3,133.0,1001.0,12.0
1956,9,25,18,9,38.0,137.5,1000.0,12.0
