year,month,day,hour,power,lat,lng,PRES,WND
1957,5,2,0,3,3.2,153.9,993.0,25.0
1957,5,2,6,3,3.7,154.7,990.0,30.0
1957,5,2,12,3,4.6,154.9,990.0,30.0
1957,5,2,18,4,5.4,155.0,988.0,35.0
1957,5,3,0,4,5.7,155.4,986.0,40.0
1957,5,3,6,4,5.7,155.6,989.0,40.0
1957,5,3,12,4,5.9,155.8,991.0,40.0
1957,5,3,18,5,6.2,155.9,981.0,50.0
1957,5,4,0,5,6.8,155.8,980.0,50.0
1957,5,4,6,6,7.4,155.5,970.0,55.0
1957,5,4,12,6,7.9,155.5,968.0,55.0
1957,5,4,18,6,8.4,155.7,966.0,55.0
1957,5,5,0,6,9.2,155.9,955.0,60.0
1957,5,5,6,6,9.9,155.7,948.0,65.0
1957,5,5,12,6,10.5,155.3,952.0,65.0
1957,5,5,18,6,11.2,154.5,958.0,60.0
1957,5,6,0,6,11.9,153.6,959.0,60.0
1957,5,6,6,6,12.7,152.6,960.0,60.0
1957,5,6,12,6,13.4,151.6,964.0,60.0
1957,5,6,18,6,14.0,150.8,958.0,60.0
1957,5,7,0,6,14.6,149.9,957.0,60.0
1957,5,7,6,6,15.4,148.6,956.0,60.0
1957,5,7,12,6,16.2,147.5,951.0,65.0
1957,5,7,18,6,17.0,146.5,952.0,65.0
1957,5,8,0,6,17.9,145.6,957.0,60.0
1957,5,8,6,6,18.6,145.0,957.0,60.0
1957,5,8,12,6,19.5,144.5,957.0,60.0
1957,5,8,18,6,20.2,144.4,957.0,60.0
1957,5,9,0,6,20.7,144.3,957.0,60.0
1957,5,9,6,6,21.3,144.3,960.0,55.0
1957,5,9,12,5,21.7,144.7,963.0,50.0
1957,5,9,18,5,22.0,145.1,963.0,50.0
1957,5,10,0,4,22.4,146.0,971.0,40.0
1957,5,10,6,4,22.5,146.9,974.0,40.0
1957,5,10,12,4,22.3,147.6,974.0,40.0
1957,5,10,18,4,22.0,148.4,974.0,40.0
1957,5,11,0,4,21.9,149.5,974.0,40.0
1957,5,11,6,4,21.8,150.4,973.0,40.0
1957,5,11,12,4,21.7,151.3,971.0,40.0
1957,5,11,18,4,21.7,152.0,970.0,40.0
1957,5,12,0,5,21.7,152.9,968.0,45.0
1957,5,12,6,5,22.0,154.2,966.0,50.0
1957,5,12,12,5,22.6,155.5,968.0,50.0
1957,5,12,18,5,22.9,156.5,970.0,50.0
1957,5,13,0,5,23.4,157.2,972.0,50.0
1957,5,13,6,5,23.7,157.8,975.0,45.0
1957,5,13,12,5,24.2,158.5,975.0,45.0
1957,5,13,18,5,24.9,159.3,975.0,45.0
1957,5,14,0,4,25.5,160.2,980.0,40.0
1957,5,14,6,4,26.1,161.1,988.0,35.0
1957,5,14,12,4,27.0,162.9,989.0,35.0
1957,5,14,18,4,27.7,164.6,989.0,35.0
1957,5,15,0,4,28.6,166.4,990.0,35.0
1957,5,15,6,4,29.1,168.5,990.0,35.0
1957,5,15,12,3,29.8,170.8,993.0,30.0
1957,5,15,18,3,31.0,173.0,997.0,25.0
1957,5,16,0,2,33.0,175.7,1001.0,20.0
1957,5,16,6,1,34.9,178.9,1005.0,15.0
