year,month,day,hour,power,lat,lng,PRES,WND
1958,10,24,0,0,11.5,159.6,1002.0,10.0
1958,10,24,6,0,11.9,159.1,1002.0,10.0
1958,10,24,12,1,12.3,158.6,1002.0,15.0
1958,10,24,18,1,12.7,158.3,1002.0,15.0
1958,10,25,0,1,13.3,158.0,1000.0,15.0
1958,10,25,6,1,13.8,157.7,1000.0,15.0
1958,10,25,12,1,14.3,157.4,1000.0,15.0
1958,10,25,18,3,14.7,157.2,980.0,30.0
1958,10,26,0,4,15.3,156.4,970.0,40.0
1958,10,26,6,5,15.7,155.3,962.0,50.0
1958,10,26,12,6,16.1,155.1,958.0,55.0
1958,10,26,18,6,16.4,155.3,954.0,60.0
1958,10,27,0,6,16.7,155.4,945.0,65.0
1958,10,27,6,6,17.4,155.5,942.0,65.0
1958,10,27,12,6,17.3,154.7,944.0,65.0
1958,10,27,18,6,16.6,154.6,944.0,65.0
1958,10,28,0,6,16.9,155.1,944.0,65.0
1958,10,28,6,6,17.5,155.3,947.0,60.0
1958,10,28,12,6,18.2,155.6,951.0,55.0
1958,10,28,18,5,18.9,155.8,956.0,50.0
1958,10,29,0,5,19.6,155.8,955.0,50.0
1958,10,29,6,6,20.2,155.9,950.0,55.0
1958,10,29,12,6,21.1,155.9,948.0,60.0
1958,10,29,18,6,22.0,155.7,946.0,60.0
1958,10,30,0,6,22.4,155.1,946.0,60.0
1958,10,30,6,6,22.4,154.5,947.0,60.0
1958,10,30,12,6,22.3,153.9,948.0,60.0
1958,10,30,18,6,22.2,153.2,949.0,60.0
1958,10,31,0,6,22.1,152.6,950.0,60.0
1958,10,31,6,6,22.1,151.8,948.0,65.0
1958,10,31,12,6,22.1,150.8,948.0,65.0
1958,10,31,18,6,22.0,149.6,948.0,65.0
1958,11,1,0,6,22.8,148.9,946.0,65.0
1958,11,1,6,6,23.3,147.8,941.0,70.0
1958,11,1,12,6,23.8,147.1,942.0,70.0
1958,11,1,18,6,25.4,146.9,942.0,70.0
1958,11,2,0,6,27.5,147.4,945.0,65.0
1958,11,2,6,6,30.0,147.1,948.0,60.0
1958,11,2,12,5,32.1,149.0,958.0,50.0
1958,11,2,18,5,34.1,151.5,967.0,45.0
1958,11,3,0,4,36.1,155.1,975.0,40.0
1958,11,3,6,4,37.0,159.5,980.0,35.0
1958,11,3,12,4,37.0,164.0,980.0,35.0
1958,11,3,18,9,37.0,169.0,980.0,0.0
1958,11,4,0,9,37.0,174.0,990.0,0.0
1958,11,4,6,9,36.5,179.5,990.0,0.0
