year,month,day,hour,power,lat,lng,PRES,WND
1958,12,1,6,2,5.0,170.0,998.0,20.0
1958,12,1,12,2,6.0,168.6,998.0,20.0
1958,12,1,18,2,7.0,167.0,998.0,20.0
1958,12,2,0,2,8.2,165.2,998.0,20.0
1958,12,2,6,3,9.3,163.3,997.0,25.0
1958,12,2,12,3,10.0,161.5,995.0,30.0
1958,12,2,18,4,10.8,159.8,992.0,35.0
1958,12,3,0,4,12.0,158.4,993.0,35.0
1958,12,3,6,4,13.1,156.3,994.0,35.0
1958,12,3,12,4,13.9,154.1,988.0,40.0
1958,12,3,18,5,14.7,151.9,981.0,45.0
1958,12,4,0,5,15.9,149.5,975.0,50.0
1958,12,4,6,6,16.5,147.4,965.0,55.0
1958,12,4,12,6,17.0,145.8,963.0,55.0
1958,12,4,18,6,17.6,144.4,961.0,60.0
1958,12,5,0,6,18.4,143.2,957.0,60.0
1958,12,5,6,6,19.4,142.2,952.0,65.0
1958,12,5,12,6,20.4,141.6,950.0,65.0
1958,12,5,18,6,21.4,142.0,949.0,70.0
1958,12,6,0,6,22.3,142.9,950.0,65.0
1958,12,6,6,6,23.1,144.1,951.0,65.0
1958,12,6,12,6,24.0,146.0,959.0,60.0
1958,12,6,18,6,24.7,148.3,966.0,55.0
1958,12,7,0,5,24.3,150.1,977.0,45.0
1958,12,7,6,3,24.6,153.2,992.0,30.0
1958,12,7,12,3,24.7,155.8,995.0,25.0
1958,12,7,18,3,24.9,158.3,995.0,25.0
1958,12,8,0,2,25.0,160.3,1000.0,20.0
1958,12,8,6,1,25.2,163.0,1002.0,15.0
1958,12,8,12,0,26.0,165.6,1002.0,0.0
1958,12,8,18,9,26.8,168.0,1010.0,0.0
1958,12,9,0,9,27.0,169.8,1012.0,0.0
1958,12,9,6,9,27.1,171.0,1012.0,0.0
1958,12,9,12,9,27.1,172.0,1014.0,0.0
