year,month,day,hour,power,lat,lng,PRES,WND
1959,12,22,0,2,5.1,152.2,1002.0,20.0
1959,12,22,6,2,4.5,152.4,1000.0,20.0
1959,12,22,12,2,4.1,152.7,999.0,20.0
1959,12,22,18,2,3.7,153.0,997.0,20.0
1959,12,23,0,2,3.4,153.3,995.0,20.0
1959,12,23,6,2,3.2,153.5,994.0,20.0
1959,12,23,12,3,3.2,153.5,994.0,25.0
1959,12,23,18,3,3.2,153.5,994.0,25.0
1959,12,24,0,3,2.9,153.7,994.0,30.0
1959,12,24,6,3,3.5,153.4,992.0,30.0
1959,12,24,12,3,3.9,152.9,991.0,30.0
1959,12,24,18,4,4.3,152.4,989.0,35.0
1959,12,25,0,4,4.7,151.8,987.0,40.0
1959,12,25,6,5,5.3,150.9,981.0,45.0
1959,12,25,12,5,5.9,149.9,980.0,45.0
1959,12,25,18,5,6.6,148.9,978.0,45.0
1959,12,26,0,5,7.4,148.2,977.0,45.0
1959,12,26,6,5,8.3,147.3,977.0,45.0
1959,12,26,12,5,9.2,146.2,975.0,50.0
1959,12,26,18,5,10.2,144.6,973.0,50.0
1959,12,27,0,5,10.5,142.8,980.0,45.0
1959,12,27,6,5,11.2,141.2,980.0,45.0
1959,12,27,12,5,11.9,139.5,970.0,50.0
1959,12,27,18,6,12.4,138.1,960.0,55.0
1959,12,28,0,6,12.9,136.6,951.0,60.0
1959,12,28,6,6,13.3,134.9,934.0,75.0
1959,12,28,12,6,13.6,133.8,933.0,75.0
1959,12,28,18,6,14.1,132.6,940.0,75.0
1959,12,29,0,6,14.6,130.8,950.0,75.0
1959,12,29,6,6,14.5,129.8,945.0,75.0
1959,12,29,12,6,14.6,129.0,941.0,75.0
1959,12,29,18,6,14.6,128.3,943.0,75.0
1959,12,30,0,6,14.2,127.7,947.0,75.0
1959,12,30,6,6,14.0,127.0,951.0,65.0
1959,12,30,12,6,13.8,126.1,952.0,65.0
1959,12,30,18,6,13.7,125.0,954.0,60.0
1959,12,31,0,6,13.8,124.1,955.0,60.0
1959,12,31,6,6,13.7,123.3,955.0,60.0
1959,12,31,12,6,13.7,122.5,960.0,55.0
1959,12,31,18,5,13.4,121.7,970.0,50.0
1960,1,1,0,4,12.9,121.0,985.0,35.0
1960,1,1,6,3,12.2,120.0,1000.0,25.0
1960,1,1,12,3,11.6,119.3,1002.0,25.0
1960,1,1,18,1,11.1,118.4,1004.0,15.0
1960,1,2,0,2,10.4,117.4,1006.0,20.0
1960,1,2,6,1,9.6,116.7,1008.0,15.0
1960,1,2,12,0,8.8,116.0,1008.0,0.0
1960,1,2,18,0,8.1,115.1,1008.0,0.0
1960,1,3,0,0,8.0,114.0,1008.0,0.0
1960,1,3,6,0,8.0,113.0,1006.0,0.0
1960,1,3,12,0,8.0,112.0,1006.0,0.0
1960,1,3,18,0,8.0,111.0,1006.0,0.0
