year,month,day,hour,power,lat,lng,PRES,WND
1959,9,7,18,0,18.0,119.9,1005.0,10.0
1959,9,8,0,0,18.0,119.1,1003.0,10.0
1959,9,8,6,0,18.2,118.0,1003.0,10.0
1959,9,8,12,1,18.4,117.0,1002.0,12.0
1959,9,8,18,1,18.7,116.0,1000.0,12.0
1959,9,9,0,1,19.1,115.1,1000.0,15.0
1959,9,9,6,2,19.6,114.9,998.0,20.0
1959,9,9,12,3,20.0,114.8,996.0,25.0
1959,9,9,18,3,20.5,114.7,995.0,25.0
1959,9,10,0,3,21.0,114.7,990.0,30.0
1959,9,10,6,3,21.5,114.9,985.0,30.0
1959,9,10,12,3,22.0,115.0,985.0,30.0
1959,9,10,18,3,22.7,115.2,985.0,30.0
1959,9,11,0,2,23.3,115.5,995.0,20.0
1959,9,11,6,1,24.3,116.7,995.0,15.0
1959,9,11,12,0,25.6,117.9,998.0,9.0
1959,9,11,18,0,26.6,119.0,1000.0,9.0
1959,9,12,0,1,27.8,120.2,1002.0,15.0
1959,9,12,6,1,29.5,121.6,1000.0,15.0
1959,9,12,12,9,30.5,122.4,1000.0,15.0
1959,9,12,18,9,31.5,124.2,1000.0,15.0
1959,9,13,0,9,32.5,126.0,1002.0,10.0
1959,9,13,6,9,33.6,128.0,1002.0,10.0
1959,9,13,12,9,34.5,130.5,1004.0,0.0
1959,9,13,18,9,35.0,132.5,1004.0,0.0
1959,9,14,0,9,36.4,134.0,1006.0,0.0
1959,9,14,6,9,36.3,135.0,1007.0,0.0
