year,month,day,hour,power,lat,lng,PRES,WND
1960,4,21,6,1,9.0,127.2,1002.0,12.0
1960,4,21,12,1,9.0,126.0,1004.0,12.0
1960,4,21,18,1,9.1,124.8,1004.0,12.0
1960,4,22,0,1,9.6,123.6,1004.0,12.0
1960,4,22,6,1,10.4,123.1,1004.0,12.0
1960,4,22,12,1,10.8,122.5,1004.0,12.0
1960,4,22,18,1,11.0,121.5,1004.0,12.0
1960,4,23,0,1,11.5,120.8,1004.0,12.0
1960,4,23,6,1,12.0,120.5,1004.0,12.0
1960,4,23,12,1,12.6,120.4,1004.0,12.0
1960,4,23,18,2,13.3,120.0,998.0,20.0
1960,4,24,0,1,13.9,119.2,998.0,15.0
1960,4,24,6,3,14.5,118.4,996.0,30.0
1960,4,24,12,3,15.4,118.4,995.0,30.0
1960,4,24,18,3,16.1,118.6,994.0,30.0
1960,4,25,0,4,16.9,118.8,992.0,40.0
1960,4,25,6,4,17.8,119.2,990.0,40.0
1960,4,25,12,3,18.9,120.0,995.0,30.0
1960,4,25,18,2,20.2,120.8,998.0,20.0
1960,4,26,0,1,21.2,121.2,1000.0,15.0
1960,4,26,6,1,21.9,122.0,1002.0,12.0
1960,4,26,12,1,22.2,122.5,1002.0,12.0
1960,4,26,18,1,22.5,123.0,1002.0,12.0
1960,4,27,0,0,22.8,123.6,1004.0,10.0
