year,month,day,hour,power,lat,lng,PRES,WND
1960,10,20,0,1,12.5,137.5,1004.0,12.0
1960,10,20,6,1,12.0,137.0,1004.0,12.0
1960,10,20,12,1,11.5,136.2,1004.0,12.0
1960,10,20,18,1,11.2,135.5,1004.0,12.0
1960,10,21,0,1,11.1,134.7,1004.0,12.0
1960,10,21,6,1,11.3,134.0,1004.0,12.0
1960,10,21,12,1,11.6,133.5,1004.0,12.0
1960,10,21,18,1,12.0,133.0,1004.0,12.0
1960,10,22,0,1,12.6,132.4,1004.0,12.0
1960,10,22,6,1,13.0,132.0,1004.0,12.0
1960,10,22,12,1,13.5,131.8,1004.0,12.0
1960,10,22,18,1,14.1,131.5,1004.0,15.0
1960,10,23,0,1,14.8,131.3,1004.0,15.0
1960,10,23,6,1,15.6,131.1,1002.0,15.0
1960,10,23,12,1,16.2,131.0,1002.0,15.0
1960,10,23,18,2,17.0,131.0,1000.0,20.0
1960,10,24,0,2,17.8,131.2,995.0,20.0
1960,10,24,6,3,18.7,131.9,985.0,30.0
1960,10,24,12,4,19.3,132.3,974.0,35.0
1960,10,24,18,4,19.8,132.7,970.0,35.0
1960,10,25,0,4,20.3,133.0,966.0,40.0
1960,10,25,6,5,20.8,133.4,962.0,45.0
1960,10,25,12,5,21.6,134.0,960.0,45.0
1960,10,25,18,5,22.7,134.8,957.0,50.0
1960,10,26,0,5,24.1,135.5,953.0,50.0
1960,10,26,6,6,26.1,136.9,950.0,60.0
1960,10,26,12,6,28.3,138.4,955.0,60.0
1960,10,26,18,6,31.0,140.3,958.0,55.0
1960,10,27,0,5,33.0,143.0,962.0,50.0
1960,10,27,6,5,37.0,146.4,965.0,50.0
1960,10,27,12,9,40.6,150.5,970.0,50.0
1960,10,27,18,9,45.0,156.0,970.0,50.0
1960,10,28,0,9,47.0,163.0,962.0,50.0
1960,10,28,6,9,47.5,167.0,958.0,50.0
1960,10,28,12,9,49.1,171.8,966.0,0.0
1960,10,28,18,9,51.4,172.5,966.0,0.0
1960,10,29,0,9,52.0,175.0,966.0,0.0
1960,10,29,6,9,52.8,178.0,966.0,0.0
