year,month,day,hour,power,lat,lng,PRES,WND
1960,8,8,0,3,22.1,121.7,980.0,30.0
1960,8,8,6,3,22.7,121.9,980.0,30.0
1960,8,8,12,3,23.4,122.1,980.0,30.0
1960,8,8,18,3,23.9,122.1,985.0,25.0
1960,8,9,0,2,24.5,121.8,990.0,20.0
1960,8,9,6,1,25.1,121.5,992.0,15.0
1960,8,9,12,1,25.5,121.5,995.0,12.0
1960,8,9,18,1,25.7,121.8,995.0,12.0
1960,8,10,0,1,26.0,122.0,998.0,12.0
1960,8,10,6,1,26.5,121.2,998.0,12.0
1960,8,10,12,0,26.5,120.1,1000.0,10.0
1960,8,10,18,0,26.5,118.8,1000.0,9.0
