year,month,day,hour,power,lat,lng,PRES,WND
1960,8,7,0,0,17.5,140.0,1006.0,0.0
1960,8,7,6,0,18.0,139.9,1004.0,0.0
1960,8,7,12,1,18.5,139.6,1002.0,12.0
1960,8,7,18,1,18.8,139.6,1000.0,15.0
1960,8,8,0,2,19.2,139.8,1000.0,20.0
1960,8,8,6,2,19.5,140.3,1000.0,20.0
1960,8,8,12,2,20.0,140.9,998.0,20.0
1960,8,8,18,3,20.7,141.4,997.0,25.0
1960,8,9,0,4,21.6,141.7,985.0,35.0
1960,8,9,6,4,23.0,141.6,985.0,35.0
1960,8,9,12,4,25.0,141.0,985.0,40.0
1960,8,9,18,4,27.0,139.8,985.0,40.0
1960,8,10,0,4,28.9,138.0,983.0,40.0
1960,8,10,6,5,30.8,136.7,980.0,45.0
1960,8,10,12,5,32.3,135.3,980.0,45.0
1960,8,10,18,5,33.2,134.1,980.0,45.0
1960,8,11,0,3,34.2,133.8,990.0,30.0
1960,8,11,6,3,35.4,133.8,994.0,25.0
1960,8,11,12,3,36.9,134.7,996.0,25.0
1960,8,11,18,3,38.3,136.5,996.0,25.0
1960,8,12,0,9,40.0,139.8,996.0,25.0
1960,8,12,6,9,42.0,145.0,996.0,20.0
1960,8,12,12,9,43.0,148.5,1000.0,15.0
1960,8,12,18,9,43.2,153.8,1000.0,12.0
1960,8,13,0,9,42.5,158.6,1000.0,12.0
