year,month,day,hour,power,lat,lng,PRES,WND
1961,5,15,0,0,11.5,121.0,1006.0,0.0
1961,5,15,6,0,12.0,120.3,1004.0,0.0
1961,5,15,12,0,12.5,119.4,1004.0,0.0
1961,5,15,18,1,13.0,118.5,1004.0,15.0
1961,5,16,0,1,13.6,117.6,1002.0,15.0
1961,5,16,6,1,14.0,117.0,1000.0,15.0
1961,5,16,12,1,14.3,116.5,998.0,15.0
1961,5,16,18,2,14.7,116.0,996.0,20.0
1961,5,17,0,2,15.1,115.3,995.0,20.0
1961,5,17,6,2,15.8,114.6,993.0,20.0
1961,5,17,12,3,16.4,114.3,990.0,25.0
1961,5,17,18,3,16.9,114.1,987.0,30.0
1961,5,18,0,4,17.5,113.9,985.0,35.0
1961,5,18,6,4,18.4,113.7,985.0,35.0
1961,5,18,12,4,19.4,113.6,983.0,35.0
1961,5,18,18,4,20.4,113.6,980.0,35.0
1961,5,19,0,4,21.5,113.8,975.0,40.0
1961,5,19,6,4,22.4,114.0,980.0,35.0
1961,5,19,12,2,23.5,114.9,985.0,20.0
1961,5,19,18,1,24.8,116.0,990.0,15.0
1961,5,20,0,0,26.0,117.9,993.0,9.0
1961,5,20,6,3,27.0,119.6,993.0,25.0
1961,5,20,12,9,28.1,122.0,994.0,20.0
1961,5,20,18,9,29.0,125.0,995.0,20.0
1961,5,21,0,9,29.7,127.5,997.0,20.0
1961,5,21,6,9,29.4,131.1,997.0,20.0
1961,5,21,12,9,29.9,134.5,997.0,20.0
1961,5,21,18,9,30.5,137.5,999.0,15.0
1961,5,22,0,9,31.2,140.0,999.0,15.0
1961,5,22,6,9,31.8,144.0,1000.0,15.0
1961,5,22,12,9,32.2,146.5,1000.0,15.0
1961,5,22,18,9,33.0,149.0,1004.0,15.0
1961,5,23,0,9,34.0,151.0,1006.0,10.0
