year,month,day,hour,power,lat,lng,PRES,WND
1961,10,18,6,0,8.4,159.3,1006.0,0.0
1961,10,18,12,0,8.9,158.5,1006.0,0.0
1961,10,18,18,0,9.2,157.4,1004.0,0.0
1961,10,19,0,0,9.3,156.0,1004.0,0.0
1961,10,19,6,0,8.9,154.3,1002.0,0.0
1961,10,19,12,0,8.7,152.5,1002.0,0.0
1961,10,19,18,0,8.6,150.8,1002.0,0.0
1961,10,20,0,0,8.7,149.3,1002.0,0.0
1961,10,20,6,1,8.8,148.4,1002.0,15.0
1961,10,20,12,1,9.0,147.6,1000.0,15.0
1961,10,20,18,1,9.1,147.2,1000.0,15.0
1961,10,21,0,1,9.2,146.8,1000.0,15.0
1961,10,21,6,1,9.3,146.5,1000.0,15.0
1961,10,21,12,1,9.4,146.0,1000.0,15.0
1961,10,21,18,1,9.5,145.6,1000.0,15.0
1961,10,22,0,1,9.6,145.4,1000.0,15.0
1961,10,22,6,1,9.7,144.9,1000.0,15.0
1961,10,22,12,1,9.8,144.6,1000.0,15.0
1961,10,22,18,1,9.9,144.3,998.0,15.0
1961,10,23,0,2,10.0,144.0,994.0,20.0
1961,10,23,6,2,10.6,143.4,994.0,20.0
1961,10,23,12,2,11.3,142.8,994.0,20.0
1961,10,23,18,3,12.0,142.3,990.0,25.0
1961,10,24,0,3,12.6,141.8,990.0,25.0
1961,10,24,6,3,13.3,141.4,988.0,30.0
1961,10,24,12,4,14.0,141.2,986.0,35.0
1961,10,24,18,4,15.2,141.3,985.0,35.0
1961,10,25,0,4,16.2,141.5,983.0,35.0
1961,10,25,6,4,17.3,141.9,982.0,35.0
1961,10,25,12,4,18.3,142.2,977.0,35.0
1961,10,25,18,4,19.3,142.4,974.0,35.0
1961,10,26,0,4,20.3,142.5,975.0,35.0
1961,10,26,6,4,21.4,142.9,974.0,35.0
1961,10,26,12,4,22.5,143.1,971.0,35.0
1961,10,26,18,4,23.7,143.0,970.0,35.0
1961,10,27,0,4,25.0,142.8,970.0,35.0
1961,10,27,6,4,26.5,143.6,970.0,40.0
1961,10,27,12,4,27.9,144.7,970.0,40.0
1961,10,27,18,4,29.8,144.8,975.0,35.0
1961,10,28,0,4,31.8,144.5,975.0,35.0
1961,10,28,6,4,34.0,146.0,975.0,35.0
1961,10,28,12,4,36.5,147.2,975.0,35.0
1961,10,28,18,4,40.0,148.5,975.0,35.0
1961,10,29,0,3,44.0,150.0,975.0,30.0
1961,10,29,6,9,46.7,151.4,975.0,30.0
1961,10,29,12,9,50.0,154.0,972.0,30.0
1961,10,29,18,9,53.3,157.0,972.0,30.0
