year,month,day,hour,power,lat,lng,PRES,WND
1961,10,26,18,1,18.0,169.9,1002.0,15.0
1961,10,27,0,2,18.8,170.0,1000.0,20.0
1961,10,27,6,2,19.0,169.6,1000.0,20.0
1961,10,27,12,3,18.8,169.2,995.0,25.0
1961,10,27,18,3,18.6,168.7,990.0,30.0
1961,10,28,0,4,18.6,167.8,985.0,40.0
1961,10,28,6,4,18.8,166.8,985.0,40.0
1961,10,28,12,4,19.2,165.8,985.0,40.0
1961,10,28,18,4,19.6,164.8,990.0,35.0
1961,10,29,0,4,20.0,163.7,992.0,35.0
1961,10,29,6,4,20.5,162.5,994.0,35.0
1961,10,29,12,4,21.2,160.9,994.0,35.0
1961,10,29,18,4,22.0,159.3,994.0,35.0
1961,10,30,0,4,22.3,158.0,994.0,35.0
1961,10,30,6,3,22.0,156.9,998.0,25.0
1961,10,30,12,3,21.8,155.5,998.0,25.0
1961,10,30,18,3,22.1,153.9,998.0,25.0
1961,10,31,0,3,23.0,152.2,998.0,25.0
1961,10,31,6,2,23.8,151.0,1000.0,20.0
1961,10,31,12,2,24.8,150.0,1000.0,20.0
1961,10,31,18,1,26.0,149.0,1004.0,15.0
1961,11,1,0,1,28.0,148.9,1006.0,15.0
1961,11,1,6,0,30.6,150.2,1010.0,0.0
