year,month,day,hour,power,lat,lng,PRES,WND
1961,11,7,18,0,14.5,151.1,1008.0,0.0
1961,11,8,0,1,14.8,152.1,1000.0,15.0
1961,11,8,6,1,15.1,152.7,1000.0,15.0
1961,11,8,12,3,15.6,153.5,995.0,25.0
1961,11,8,18,4,16.5,154.0,990.0,35.0
1961,11,9,0,5,17.3,153.5,985.0,45.0
1961,11,9,6,5,17.5,152.1,983.0,45.0
1961,11,9,12,5,17.6,150.7,980.0,50.0
1961,11,9,18,6,17.7,149.4,970.0,55.0
1961,11,10,0,6,17.8,148.0,960.0,60.0
1961,11,10,6,6,17.9,146.6,950.0,65.0
1961,11,10,12,6,17.9,145.3,940.0,70.0
1961,11,10,18,6,18.0,144.1,930.0,75.0
1961,11,11,0,6,18.0,143.0,925.0,75.0
1961,11,11,6,6,18.2,142.1,926.0,75.0
1961,11,11,12,6,18.7,141.4,928.0,75.0
1961,11,11,18,6,19.2,140.8,930.0,70.0
1961,11,12,0,6,19.6,140.4,933.0,70.0
1961,11,12,6,6,20.0,140.4,939.0,65.0
1961,11,12,12,6,20.5,140.6,946.0,60.0
1961,11,12,18,6,20.9,141.2,952.0,55.0
1961,11,13,0,5,21.5,142.1,957.0,50.0
1961,11,13,6,5,22.6,143.0,960.0,45.0
1961,11,13,12,5,23.3,144.3,962.0,45.0
1961,11,13,18,5,23.9,146.1,964.0,45.0
1961,11,14,0,5,24.7,148.0,966.0,45.0
1961,11,14,6,5,25.6,150.5,970.0,45.0
1961,11,14,12,4,26.5,153.0,980.0,40.0
1961,11,14,18,4,27.5,155.7,985.0,35.0
1961,11,15,0,3,28.6,158.5,990.0,30.0
1961,11,15,6,3,30.1,162.1,1000.0,25.0
1961,11,15,12,9,31.1,165.0,1006.0,20.0
1961,11,15,18,9,32.2,168.0,1010.0,15.0
1961,11,16,0,9,33.6,171.1,1014.0,0.0
1961,11,16,6,9,35.0,174.1,1012.0,0.0
1961,11,16,12,9,36.5,177.6,1012.0,0.0
