year,month,day,hour,power,lat,lng,PRES,WND
1961,7,11,18,0,11.5,146.0,1008.0,0.0
1961,7,12,0,0,11.3,145.0,1008.0,0.0
1961,7,12,6,0,11.2,144.0,1006.0,0.0
1961,7,12,12,0,11.3,143.3,1006.0,0.0
1961,7,12,18,0,11.6,142.4,1006.0,0.0
1961,7,13,0,0,11.8,141.0,1006.0,0.0
1961,7,13,6,0,12.0,139.4,1006.0,0.0
1961,7,13,12,0,12.2,137.4,1006.0,0.0
1961,7,13,18,0,13.0,136.0,1004.0,0.0
1961,7,14,0,0,13.8,135.4,1002.0,0.0
1961,7,14,6,0,14.6,134.9,1002.0,0.0
1961,7,14,12,0,15.3,134.2,1002.0,0.0
1961,7,14,18,0,16.0,133.6,1002.0,0.0
1961,7,15,0,0,16.6,132.8,1002.0,0.0
1961,7,15,6,0,16.9,132.1,1002.0,0.0
1961,7,15,12,0,17.3,131.2,1002.0,0.0
1961,7,15,18,1,17.7,130.2,1000.0,15.0
1961,7,16,0,1,17.9,129.0,1000.0,15.0
1961,7,16,6,2,17.9,127.7,998.0,20.0
1961,7,16,12,2,17.6,126.3,996.0,20.0
1961,7,16,18,2,17.3,125.3,996.0,20.0
1961,7,17,0,2,16.7,124.3,996.0,20.0
1961,7,17,6,2,16.2,123.5,995.0,20.0
1961,7,17,12,2,16.0,122.0,995.0,20.0
1961,7,17,18,2,16.9,120.4,996.0,20.0
1961,7,18,0,2,17.7,119.8,997.0,20.0
1961,7,18,6,2,18.4,119.2,997.0,20.0
1961,7,18,12,3,19.4,118.5,997.0,25.0
1961,7,18,18,3,20.2,117.8,995.0,25.0
1961,7,19,0,3,21.1,116.7,992.0,25.0
1961,7,19,6,2,21.9,115.5,994.0,20.0
1961,7,19,12,1,22.4,114.2,995.0,15.0
1961,7,19,18,0,22.5,112.5,998.0,9.0
1961,7,20,0,0,23.7,111.2,1002.0,9.0
1961,7,20,6,0,23.9,110.9,1004.0,9.0
