year,month,day,hour,power,lat,lng,PRES,WND
1961,9,25,12,0,11.2,161.3,1006.0,0.0
1961,9,25,18,0,12.0,159.3,1004.0,0.0
1961,9,26,0,0,13.0,157.5,1004.0,0.0
1961,9,26,6,1,14.5,154.8,1002.0,15.0
1961,9,26,12,1,15.8,152.0,1000.0,15.0
1961,9,26,18,2,16.7,149.5,998.0,20.0
1961,9,27,0,2,17.5,147.5,998.0,20.0
1961,9,27,6,3,18.3,146.0,996.0,25.0
1961,9,27,12,3,18.9,144.5,994.0,30.0
1961,9,27,18,3,19.3,143.0,994.0,30.0
1961,9,28,0,4,19.5,141.6,990.0,35.0
1961,9,28,6,4,19.6,140.5,990.0,35.0
1961,9,28,12,4,19.6,139.6,990.0,35.0
1961,9,28,18,4,19.5,139.0,985.0,40.0
1961,9,29,0,5,19.5,138.4,970.0,45.0
1961,9,29,6,5,19.9,137.8,968.0,45.0
1961,9,29,12,5,20.5,137.6,971.0,45.0
1961,9,29,18,5,21.2,137.4,973.0,45.0
1961,9,30,0,5,22.0,137.2,971.0,50.0
1961,9,30,6,5,23.0,137.0,966.0,50.0
1961,9,30,12,5,23.9,136.4,961.0,50.0
1961,9,30,18,6,24.4,135.6,957.0,55.0
1961,10,1,0,6,24.6,134.7,952.0,55.0
1961,10,1,6,6,24.8,133.8,947.0,55.0
1961,10,1,12,6,25.0,132.8,943.0,55.0
1961,10,1,18,6,25.2,131.5,938.0,60.0
1961,10,2,0,6,25.3,130.3,935.0,60.0
1961,10,2,6,6,25.6,129.2,936.0,60.0
1961,10,2,12,6,25.8,127.9,937.0,60.0
1961,10,2,18,6,26.2,126.7,938.0,60.0
1961,10,3,0,6,26.6,125.7,940.0,60.0
1961,10,3,6,6,27.2,124.8,945.0,55.0
1961,10,3,12,6,28.1,123.6,945.0,55.0
1961,10,3,18,5,28.7,122.5,950.0,50.0
1961,10,4,0,4,28.9,121.6,960.0,40.0
1961,10,4,6,3,29.5,121.1,980.0,25.0
1961,10,4,12,2,30.2,120.9,990.0,20.0
1961,10,4,18,1,30.9,121.1,995.0,15.0
1961,10,5,0,1,31.5,121.4,999.0,15.0
1961,10,5,6,1,31.9,121.9,999.0,15.0
1961,10,5,12,9,32.8,123.2,999.0,15.0
1961,10,5,18,9,34.2,126.0,999.0,15.0
1961,10,6,0,9,36.3,131.2,999.0,15.0
1961,10,6,6,9,38.0,135.5,994.0,0.0
1961,10,6,12,9,42.0,140.2,988.0,0.0
1961,10,6,18,9,44.0,142.0,988.0,0.0
1961,10,7,0,9,47.0,144.0,986.0,0.0
1961,10,7,6,9,49.0,144.0,984.0,0.0
1961,10,7,12,9,51.0,144.0,984.0,0.0
1961,10,7,18,9,52.0,144.5,982.0,0.0
1961,10,8,0,9,53.0,145.0,982.0,0.0
1961,10,8,6,9,54.0,146.0,982.0,0.0
1961,10,8,12,9,54.8,148.0,986.0,0.0
