year,month,day,hour,power,lat,lng,PRES,WND
1962,8,20,0,0,17.0,149.0,1004.0,0.0
1962,8,20,6,1,17.4,148.5,1002.0,15.0
1962,8,20,12,1,17.5,148.0,1002.0,15.0
1962,8,20,18,2,17.6,147.5,1000.0,20.0
1962,8,21,0,3,18.2,147.0,999.0,25.0
1962,8,21,6,3,19.0,146.6,992.0,30.0
1962,8,21,12,3,19.8,145.5,992.0,30.0
1962,8,21,18,3,20.5,144.7,992.0,30.0
1962,8,22,0,3,21.2,143.8,992.0,30.0
1962,8,22,6,4,21.8,142.7,988.0,35.0
1962,8,22,12,4,22.6,141.4,986.0,35.0
1962,8,22,18,4,23.5,140.4,979.0,35.0
1962,8,23,0,5,24.5,140.2,966.0,45.0
1962,8,23,6,6,25.2,139.2,949.0,55.0
1962,8,23,12,5,25.5,138.2,954.0,50.0
1962,8,23,18,5,26.2,137.4,958.0,50.0
1962,8,24,0,5,26.9,137.4,960.0,50.0
1962,8,24,6,5,27.8,137.4,959.0,50.0
1962,8,24,12,5,28.3,137.3,956.0,50.0
1962,8,24,18,6,29.0,137.0,952.0,55.0
1962,8,25,0,6,30.1,136.9,948.0,60.0
1962,8,25,6,6,31.3,136.8,952.0,60.0
1962,8,25,12,5,32.5,136.5,964.0,50.0
1962,8,25,18,4,33.8,136.3,976.0,40.0
1962,8,26,0,3,35.8,136.2,985.0,30.0
1962,8,26,6,3,37.6,136.4,995.0,25.0
1962,8,26,12,2,39.0,136.7,1000.0,20.0
1962,8,26,18,2,40.6,138.0,1000.0,20.0
1962,8,27,0,2,42.0,140.0,1002.0,20.0
1962,8,27,6,9,43.5,142.5,1002.0,0.0
1962,8,27,12,9,44.0,145.0,1000.0,0.0
1962,8,27,18,9,44.0,148.0,998.0,0.0
1962,8,28,0,9,43.6,152.5,998.0,0.0
1962,8,28,6,9,43.5,155.0,992.0,0.0
1962,8,28,12,9,43.8,156.5,990.0,0.0
1962,8,28,18,9,44.4,158.0,988.0,0.0
1962,8,29,0,9,45.1,159.0,990.0,0.0
1962,8,29,6,9,45.7,160.2,990.0,0.0
