year,month,day,hour,power,lat,lng,PRES,WND
1963,4,25,12,1,7.6,145.5,1004.0,15.0
1963,4,25,18,1,7.7,144.6,1004.0,15.0
1963,4,26,0,1,8.0,144.0,1002.0,15.0
1963,4,26,6,1,8.4,143.6,1000.0,15.0
1963,4,26,12,1,8.8,143.4,1000.0,15.0
1963,4,26,18,2,9.4,143.4,995.0,20.0
1963,4,27,0,3,9.7,143.6,990.0,25.0
1963,4,27,6,4,10.0,143.8,972.0,35.0
1963,4,27,12,4,10.4,143.8,961.0,40.0
1963,4,27,18,5,10.7,143.7,952.0,50.0
1963,4,28,0,6,11.0,143.5,943.0,55.0
1963,4,28,6,6,11.5,143.6,936.0,60.0
1963,4,28,12,6,12.0,143.7,931.0,60.0
1963,4,28,18,6,12.6,143.8,925.0,65.0
1963,4,29,0,6,13.1,144.1,920.0,65.0
1963,4,29,6,6,13.6,144.3,930.0,65.0
1963,4,29,12,6,14.1,144.6,940.0,60.0
1963,4,29,18,6,14.6,145.0,950.0,55.0
1963,4,30,0,6,15.1,145.5,950.0,55.0
1963,4,30,6,6,15.7,146.2,950.0,55.0
1963,4,30,12,6,16.3,146.9,950.0,55.0
1963,4,30,18,5,17.1,147.6,950.0,50.0
1963,5,1,0,5,17.8,148.2,960.0,45.0
1963,5,1,6,5,18.3,148.9,965.0,45.0
1963,5,1,12,5,19.1,149.2,969.0,45.0
1963,5,1,18,5,19.9,149.6,971.0,45.0
1963,5,2,0,5,20.7,150.2,971.0,45.0
1963,5,2,6,5,21.4,151.4,971.0,45.0
1963,5,2,12,5,22.2,152.4,971.0,45.0
1963,5,2,18,5,23.3,153.3,971.0,45.0
1963,5,3,0,5,24.4,154.2,971.0,45.0
1963,5,3,6,4,25.5,155.4,973.0,40.0
1963,5,3,12,4,26.0,157.0,976.0,40.0
1963,5,3,18,4,26.2,158.6,980.0,40.0
1963,5,4,0,4,26.3,160.2,981.0,40.0
1963,5,4,6,4,26.7,162.0,981.0,40.0
1963,5,4,12,4,27.4,163.6,984.0,35.0
1963,5,4,18,4,28.4,165.6,986.0,35.0
1963,5,5,0,4,29.2,167.8,989.0,35.0
1963,5,5,6,4,30.0,169.8,990.0,35.0
1963,5,5,12,4,31.0,171.5,990.0,35.0
1963,5,5,18,3,32.2,172.9,990.0,30.0
1963,5,6,0,9,33.2,174.0,995.0,25.0
1963,5,6,6,9,33.8,175.6,1004.0,15.0
1963,5,6,12,9,34.6,176.7,1004.0,15.0
1963,5,6,18,9,35.3,177.7,1004.0,15.0
1963,5,7,0,9,35.9,177.9,1006.0,0.0
1963,5,7,6,9,36.5,177.8,1006.0,0.0
1963,5,7,12,9,37.2,177.4,1008.0,0.0
1963,5,7,18,9,37.9,177.2,1010.0,0.0
1963,5,8,0,9,38.8,177.0,1010.0,0.0
1963,5,8,6,9,40.0,176.9,1010.0,0.0
1963,5,8,12,9,43.0,177.1,1006.0,0.0
1963,5,8,18,9,46.0,177.0,1002.0,0.0
1963,5,9,0,9,48.8,178.8,998.0,0.0
