year,month,day,hour,power,lat,lng,PRES,WND
1964,7,27,0,0,16.9,150.0,1006.0,0.0
1964,7,27,6,0,17.5,149.9,1004.0,0.0
1964,7,27,12,0,18.3,149.6,1004.0,0.0
1964,7,27,18,1,19.1,149.3,1004.0,15.0
1964,7,28,0,2,19.7,149.0,1000.0,20.0
1964,7,28,6,2,20.4,148.6,994.0,20.0
1964,7,28,12,3,20.9,147.9,990.0,25.0
1964,7,28,18,3,21.5,147.2,986.0,30.0
1964,7,29,0,4,22.3,146.3,980.0,35.0
1964,7,29,6,5,22.6,145.4,970.0,45.0
1964,7,29,12,6,22.7,144.3,961.0,55.0
1964,7,29,18,6,23.0,143.2,952.0,60.0
1964,7,30,0,6,23.4,142.5,940.0,65.0
1964,7,30,6,6,24.0,141.7,935.0,75.0
1964,7,30,12,6,24.5,140.8,943.0,70.0
1964,7,30,18,6,25.3,139.3,950.0,65.0
1964,7,31,0,6,26.1,137.9,955.0,65.0
1964,7,31,6,6,26.9,136.7,955.0,65.0
1964,7,31,12,6,27.5,135.2,960.0,60.0
1964,7,31,18,6,28.3,133.7,964.0,60.0
1964,8,1,0,6,29.1,132.2,967.0,55.0
1964,8,1,6,5,29.8,131.1,967.0,50.0
1964,8,1,12,5,30.6,129.7,967.0,50.0
1964,8,1,18,5,31.5,128.5,968.0,45.0
1964,8,2,0,4,32.4,127.6,971.0,40.0
1964,8,2,6,4,33.2,126.9,977.0,35.0
1964,8,2,12,4,34.2,126.0,978.0,35.0
1964,8,2,18,4,35.2,125.0,979.0,35.0
1964,8,3,0,3,36.3,124.0,985.0,30.0
1964,8,3,6,3,37.2,123.4,990.0,25.0
1964,8,3,12,3,38.3,122.9,990.0,25.0
1964,8,3,18,2,39.8,122.4,995.0,20.0
1964,8,4,0,1,42.0,122.4,998.0,15.0
1964,8,4,6,1,43.8,123.2,998.0,15.0
1964,8,4,12,1,45.2,124.8,994.0,15.0
1964,8,4,18,1,46.4,127.0,994.0,15.0
1964,8,5,0,9,47.4,131.5,993.0,15.0
1964,8,5,6,9,47.1,137.0,993.0,20.0
1964,8,5,12,9,46.8,140.8,997.0,20.0
1964,8,5,18,9,46.7,145.0,999.0,12.0
