year,month,day,hour,power,lat,lng,PRES,WND
1964,8,9,0,0,9.0,143.7,1007.0,0.0
1964,8,9,6,0,9.8,141.6,1004.0,0.0
1964,8,9,12,0,10.8,139.8,1004.0,0.0
1964,8,9,18,0,11.8,138.0,1004.0,0.0
1964,8,10,0,0,12.4,136.5,1004.0,0.0
1964,8,10,6,1,12.9,135.0,1002.0,15.0
1964,8,10,12,1,13.6,133.4,1002.0,15.0
1964,8,10,18,1,14.1,132.1,1000.0,15.0
1964,8,11,0,2,14.8,130.7,998.0,20.0
1964,8,11,6,2,15.5,129.9,998.0,20.0
1964,8,11,12,2,16.2,128.8,998.0,20.0
1964,8,11,18,2,17.0,127.5,998.0,20.0
1964,8,12,0,2,17.8,126.2,998.0,20.0
1964,8,12,6,1,18.5,124.5,1002.0,15.0
1964,8,12,12,1,18.6,122.5,1002.0,15.0
1964,8,12,18,1,18.8,119.5,1002.0,15.0
1964,8,13,0,1,18.9,116.7,1003.0,12.0
1964,8,13,6,1,19.0,115.0,1003.0,12.0
1964,8,13,12,1,19.3,113.7,1003.0,12.0
1964,8,13,18,1,19.5,112.8,1003.0,12.0
1964,8,14,0,1,20.0,112.0,1001.0,12.0
1964,8,14,6,1,20.4,111.3,999.0,12.0
1964,8,14,12,1,20.5,110.6,999.0,12.0
1964,8,14,18,1,20.5,110.0,999.0,12.0
1964,8,15,0,1,20.1,109.8,999.0,12.0
1964,8,15,6,1,20.0,110.2,999.0,12.0
1964,8,15,12,1,19.9,111.0,999.0,12.0
1964,8,15,18,1,20.2,112.1,1000.0,12.0
1964,8,16,0,1,20.6,113.0,1000.0,12.0
1964,8,16,6,1,21.0,114.2,996.0,12.0
1964,8,16,12,1,21.5,115.2,996.0,12.0
1964,8,16,18,1,21.9,115.8,996.0,12.0
1964,8,17,0,0,22.4,116.1,996.0,10.0
1964,8,17,6,0,22.7,116.5,996.0,0.0
1964,8,17,12,0,22.8,117.0,997.0,0.0
1964,8,17,18,0,22.8,117.4,998.0,0.0
1964,8,18,0,0,22.9,117.9,998.0,0.0
1964,8,18,6,0,22.9,118.2,997.0,0.0
