year,month,day,hour,power,lat,lng,PRES,WND
1964,11,14,0,0,8.1,141.5,1006.0,0.0
1964,11,14,6,0,8.1,140.8,1004.0,0.0
1964,11,14,12,0,8.0,140.0,1004.0,0.0
1964,11,14,18,0,7.8,139.3,1004.0,0.0
1964,11,15,0,0,7.7,138.7,1004.0,0.0
1964,11,15,6,1,7.5,138.2,1002.0,15.0
1964,11,15,12,1,7.3,137.6,1002.0,15.0
1964,11,15,18,1,7.0,137.0,1002.0,15.0
1964,11,16,0,2,6.8,136.3,998.0,20.0
1964,11,16,6,3,6.7,135.4,995.0,25.0
1964,11,16,12,3,6.6,134.8,990.0,30.0
1964,11,16,18,4,6.9,134.1,960.0,40.0
1964,11,17,0,5,7.1,133.4,950.0,50.0
1964,11,17,6,6,7.1,132.8,941.0,65.0
1964,11,17,12,6,7.2,132.1,939.0,65.0
1964,11,17,18,6,7.7,131.3,936.0,65.0
1964,11,18,0,6,8.4,130.5,926.0,70.0
1964,11,18,6,6,8.5,129.4,923.0,80.0
1964,11,18,12,6,8.6,128.1,940.0,65.0
1964,11,18,18,5,9.1,127.0,960.0,50.0
1964,11,19,0,4,9.5,126.2,978.0,40.0
1964,11,19,6,3,9.8,125.2,981.0,30.0
1964,11,19,12,3,10.1,124.5,983.0,30.0
1964,11,19,18,3,10.6,124.1,986.0,25.0
1964,11,20,0,3,11.0,123.9,988.0,25.0
1964,11,20,6,3,11.5,123.5,990.0,25.0
1964,11,20,12,3,12.4,123.2,992.0,25.0
1964,11,20,18,3,13.8,122.6,994.0,25.0
1964,11,21,0,2,15.1,122.1,996.0,20.0
1964,11,21,6,1,15.6,120.9,1000.0,15.0
1964,11,21,12,1,15.5,119.9,1000.0,15.0
1964,11,21,18,2,15.2,119.3,1000.0,20.0
1964,11,22,0,3,14.7,118.8,1000.0,25.0
1964,11,22,6,3,14.1,118.5,1000.0,25.0
1964,11,22,12,2,13.6,118.5,1000.0,20.0
1964,11,22,18,2,13.4,118.6,1000.0,20.0
1964,11,23,0,1,13.2,118.7,1000.0,15.0
1964,11,23,6,1,13.1,118.8,1002.0,15.0
1964,11,23,12,0,12.8,119.0,1004.0,10.0
1964,11,23,18,0,12.6,119.2,1004.0,10.0
1964,11,24,0,0,12.4,119.4,1004.0,10.0
1964,11,24,6,0,12.1,119.4,1004.0,0.0
1964,11,24,12,0,11.8,119.4,1004.0,0.0
1964,11,24,18,0,11.5,119.4,1006.0,0.0
