year,month,day,hour,power,lat,lng,PRES,WND
1964,9,3,0,0,8.9,157.9,1007.0,0.0
1964,9,3,6,0,8.9,157.0,1006.0,0.0
1964,9,3,12,0,9.0,156.0,1006.0,0.0
1964,9,3,18,0,9.2,155.0,1004.0,0.0
1964,9,4,0,1,9.6,154.2,1002.0,15.0
1964,9,4,6,2,10.3,152.4,1000.0,20.0
1964,9,4,12,3,10.7,150.8,998.0,25.0
1964,9,4,18,3,11.2,149.3,996.0,30.0
1964,9,5,0,3,12.0,148.0,995.0,30.0
1964,9,5,6,4,12.8,146.1,990.0,35.0
1964,9,5,12,5,13.4,144.1,980.0,45.0
1964,9,5,18,6,13.9,142.2,970.0,55.0
1964,9,6,0,6,14.5,140.2,960.0,65.0
1964,9,6,6,6,14.8,138.5,950.0,75.0
1964,9,6,12,6,15.3,136.8,932.0,80.0
1964,9,6,18,6,15.7,134.9,915.0,90.0
1964,9,7,0,6,16.2,133.1,897.0,100.0
1964,9,7,6,6,16.8,131.2,897.0,100.0
1964,9,7,12,6,17.2,129.7,897.0,100.0
1964,9,7,18,6,17.7,127.7,897.0,100.0
1964,9,8,0,6,18.0,126.2,900.0,95.0
1964,9,8,6,6,18.1,125.0,910.0,85.0
1964,9,8,12,6,18.4,123.6,921.0,75.0
1964,9,8,18,6,18.6,122.5,932.0,70.0
1964,9,9,0,6,18.9,121.3,943.0,65.0
1964,9,9,6,6,19.3,120.3,952.0,60.0
1964,9,9,12,6,19.8,119.0,959.0,55.0
1964,9,9,18,5,20.2,117.8,960.0,50.0
1964,9,10,0,5,21.0,116.7,967.0,45.0
1964,9,10,6,5,21.8,115.8,967.0,45.0
1964,9,10,12,5,22.4,114.9,967.0,45.0
1964,9,10,18,2,23.3,113.8,988.0,15.0
1964,9,11,0,1,24.1,112.8,999.0,10.0
1964,9,11,6,1,24.9,111.4,1000.0,9.0
1964,9,11,12,0,25.5,110.3,1004.0,9.0
1964,9,11,18,0,25.6,109.4,1005.0,9.0
