year,month,day,hour,power,lat,lng,PRES,WND
1965,9,25,12,0,7.8,156.2,1008.0,0.0
1965,9,25,18,0,9.0,155.0,1006.0,0.0
1965,9,26,0,0,10.7,154.2,1004.0,0.0
1965,9,26,6,1,12.2,153.7,1002.0,15.0
1965,9,26,12,1,13.5,153.0,1000.0,15.0
1965,9,26,18,2,14.9,151.9,998.0,20.0
1965,9,27,0,2,15.3,150.3,996.0,20.0
1965,9,27,6,2,15.4,148.8,995.0,20.0
1965,9,27,12,3,15.3,147.5,994.0,30.0
1965,9,27,18,4,15.4,146.4,991.0,35.0
1965,9,28,0,4,15.6,145.7,981.0,40.0
1965,9,28,6,5,16.0,145.0,973.0,50.0
1965,9,28,12,5,16.5,144.5,971.0,50.0
1965,9,28,18,6,16.9,144.1,969.0,55.0
1965,9,29,0,6,17.4,143.8,967.0,55.0
1965,9,29,6,6,18.1,143.7,961.0,55.0
1965,9,29,12,6,18.8,143.6,949.0,60.0
1965,9,29,18,6,19.7,143.6,937.0,60.0
1965,9,30,0,6,20.3,143.4,917.0,70.0
1965,9,30,6,6,21.0,143.3,905.0,75.0
1965,9,30,12,6,21.7,143.4,901.0,75.0
1965,9,30,18,6,22.3,143.6,901.0,75.0
1965,10,1,0,6,23.3,143.9,914.0,75.0
1965,10,1,6,6,24.5,144.2,930.0,75.0
1965,10,1,12,6,25.8,144.0,936.0,65.0
1965,10,1,18,6,26.8,143.7,936.0,65.0
1965,10,2,0,6,27.9,143.5,939.0,65.0
1965,10,2,6,6,29.2,143.2,946.0,65.0
1965,10,2,12,6,30.3,143.5,953.0,60.0
1965,10,2,18,6,31.2,144.3,960.0,55.0
1965,10,3,0,6,31.9,145.3,968.0,55.0
1965,10,3,6,5,32.6,146.2,971.0,50.0
1965,10,3,12,5,33.4,147.1,971.0,50.0
1965,10,3,18,5,34.2,147.9,971.0,50.0
1965,10,4,0,5,35.3,148.5,971.0,50.0
1965,10,4,6,5,36.2,149.0,970.0,50.0
1965,10,4,12,5,37.5,149.8,970.0,50.0
1965,10,4,18,5,38.5,150.3,972.0,45.0
1965,10,5,0,5,39.3,150.9,974.0,45.0
1965,10,5,6,9,40.3,151.5,976.0,0.0
1965,10,5,12,9,42.0,153.0,978.0,0.0
1965,10,5,18,9,43.8,154.6,982.0,0.0
1965,10,6,0,9,45.5,155.5,988.0,0.0
1965,10,6,6,9,48.0,156.0,990.0,0.0
1965,10,6,12,9,50.5,157.0,1000.0,0.0
1965,10,6,18,9,52.0,163.0,1002.0,0.0
1965,10,7,0,9,53.0,168.0,1002.0,0.0
1965,10,7,6,9,53.5,171.3,996.0,0.0
1965,10,7,12,9,54.3,178.0,990.0,0.0
