year,month,day,hour,power,lat,lng,PRES,WND
1965,10,10,12,0,8.5,168.4,1004.0,0.0
1965,10,10,18,0,8.5,167.4,1004.0,0.0
1965,10,11,0,0,8.8,166.6,1004.0,0.0
1965,10,11,6,0,9.2,165.7,1004.0,0.0
1965,10,11,12,0,9.9,165.2,1002.0,0.0
1965,10,11,18,0,10.8,164.8,1002.0,0.0
1965,10,12,0,0,11.8,164.6,1000.0,0.0
1965,10,12,6,1,12.8,164.5,1000.0,15.0
1965,10,12,12,1,14.0,164.3,1000.0,15.0
1965,10,12,18,1,15.0,163.9,1000.0,15.0
1965,10,13,0,1,15.8,163.5,1000.0,15.0
1965,10,13,6,2,16.5,163.1,1000.0,20.0
1965,10,13,12,2,17.2,162.4,1000.0,20.0
1965,10,13,18,3,17.8,161.7,998.0,25.0
1965,10,14,0,3,18.3,161.1,995.0,25.0
1965,10,14,6,3,18.6,160.4,991.0,30.0
1965,10,14,12,3,19.1,159.7,988.0,30.0
1965,10,14,18,4,19.5,158.8,985.0,35.0
1965,10,15,0,4,20.1,157.8,982.0,40.0
1965,10,15,6,4,20.8,156.7,980.0,40.0
1965,10,15,12,4,21.6,155.4,980.0,40.0
1965,10,15,18,4,22.4,154.0,980.0,40.0
1965,10,16,0,5,23.1,152.7,978.0,45.0
1965,10,16,6,5,23.4,151.5,976.0,45.0
1965,10,16,12,5,23.6,150.5,974.0,45.0
1965,10,16,18,5,23.7,149.3,971.0,50.0
1965,10,17,0,5,24.5,148.0,971.0,50.0
1965,10,17,6,5,25.3,147.3,974.0,50.0
1965,10,17,12,5,25.5,146.9,976.0,50.0
1965,10,17,18,5,25.8,146.5,977.0,50.0
1965,10,18,0,5,26.3,146.2,979.0,50.0
1965,10,18,6,5,27.1,146.3,980.0,45.0
1965,10,18,12,4,28.4,146.5,980.0,40.0
1965,10,18,18,4,30.1,146.8,980.0,40.0
1965,10,19,0,4,32.0,147.1,981.0,35.0
1965,10,19,6,4,34.0,147.8,981.0,35.0
1965,10,19,12,4,36.5,148.7,981.0,35.0
1965,10,19,18,3,39.2,150.1,985.0,30.0
1965,10,20,0,9,42.0,152.0,988.0,25.0
1965,10,20,6,9,44.0,156.0,994.0,0.0
1965,10,20,12,9,45.0,160.0,996.0,0.0
1965,10,20,18,9,46.0,164.0,994.0,0.0
1965,10,21,0,9,47.5,169.0,990.0,0.0
1965,10,21,6,9,49.0,175.0,988.0,0.0
1965,10,21,12,9,49.0,180.0,980.0,0.0
