year,month,day,hour,power,lat,lng,PRES,WND
1965,6,10,6,0,10.0,151.0,1008.0,0.0
1965,6,10,12,0,10.0,150.0,1008.0,0.0
1965,6,10,18,1,10.0,149.0,1008.0,15.0
1965,6,11,0,1,10.2,148.0,1008.0,15.0
1965,6,11,6,1,10.4,147.0,1008.0,15.0
1965,6,11,12,1,10.7,146.1,1008.0,15.0
1965,6,11,18,1,11.0,145.2,1008.0,15.0
1965,6,12,0,2,11.3,144.3,1006.0,20.0
1965,6,12,6,2,11.8,143.2,1006.0,20.0
1965,6,12,12,2,12.1,142.0,1006.0,20.0
1965,6,12,18,3,12.3,140.9,1002.0,30.0
1965,6,13,0,4,12.2,140.0,1001.0,35.0
1965,6,13,6,4,12.1,139.3,1000.0,35.0
1965,6,13,12,4,12.2,138.6,997.0,35.0
1965,6,13,18,4,12.4,137.8,994.0,35.0
1965,6,14,0,4,12.9,136.9,991.0,35.0
1965,6,14,6,5,13.4,135.8,983.0,50.0
1965,6,14,12,6,13.6,134.6,975.0,55.0
1965,6,14,18,6,13.8,133.3,966.0,55.0
1965,6,15,0,6,14.2,132.1,958.0,60.0
1965,6,15,6,6,14.6,131.0,956.0,60.0
1965,6,15,12,6,15.0,130.0,956.0,60.0
1965,6,15,18,6,15.4,129.0,956.0,60.0
1965,6,16,0,6,15.7,128.1,953.0,65.0
1965,6,16,6,6,16.2,127.2,948.0,65.0
1965,6,16,12,6,16.5,126.2,943.0,65.0
1965,6,16,18,6,16.8,125.3,939.0,75.0
1965,6,17,0,6,17.1,124.3,934.0,80.0
1965,6,17,6,6,17.8,123.5,934.0,80.0
1965,6,17,12,6,18.6,122.8,937.0,75.0
1965,6,17,18,6,19.3,122.2,940.0,70.0
1965,6,18,0,6,20.2,121.5,957.0,60.0
1965,6,18,6,5,21.3,121.1,975.0,45.0
1965,6,18,12,4,22.4,120.9,983.0,40.0
1965,6,18,18,3,23.7,120.9,991.0,30.0
1965,6,19,0,3,25.5,121.4,995.0,30.0
1965,6,19,6,3,27.6,123.0,995.0,30.0
1965,6,19,12,3,29.2,125.5,995.0,25.0
1965,6,19,18,3,31.0,128.5,998.0,25.0
1965,6,20,0,9,34.0,132.1,1002.0,20.0
1965,6,20,6,9,36.0,134.9,1002.0,20.0
1965,6,20,12,9,36.5,137.0,1004.0,0.0
1965,6,20,18,9,37.0,139.0,1004.0,0.0
1965,6,21,0,9,37.6,142.3,1004.0,0.0
1965,6,21,6,9,38.5,145.1,1003.0,0.0
1965,6,21,12,9,39.5,147.1,1002.0,0.0
1965,6,21,18,9,40.9,150.0,996.0,0.0
1965,6,22,0,9,42.0,152.0,996.0,0.0
1965,6,22,6,9,42.5,154.0,996.0,0.0
1965,6,22,12,9,42.2,155.9,996.0,0.0
1965,6,22,18,9,41.5,157.5,996.0,0.0
1965,6,23,0,9,40.8,158.4,999.0,0.0
1965,6,23,6,9,40.4,159.3,999.0,0.0
1965,6,23,12,9,40.1,160.1,1000.0,0.0
1965,6,23,18,9,40.5,162.0,1000.0,0.0
1965,6,24,0,9,41.6,164.0,1000.0,0.0
1965,6,24,6,9,42.5,166.3,1000.0,0.0
