year,month,day,hour,power,lat,lng,PRES,WND
1965,11,5,0,0,7.8,112.1,1008.0,0.0
1965,11,5,6,0,7.8,112.5,1008.0,0.0
1965,11,5,12,0,7.9,112.9,1008.0,0.0
1965,11,5,18,0,8.2,113.2,1008.0,0.0
1965,11,6,0,0,8.5,113.7,1008.0,0.0
1965,11,6,6,0,9.0,114.2,1007.0,0.0
1965,11,6,12,0,9.4,114.4,1007.0,0.0
1965,11,6,18,0,10.0,114.7,1006.0,0.0
1965,11,7,0,0,10.8,114.7,1005.0,0.0
1965,11,7,6,0,11.4,114.3,1005.0,0.0
1965,11,7,12,0,11.7,113.6,1005.0,0.0
1965,11,7,18,1,11.8,112.9,1005.0,12.0
1965,11,8,0,1,11.9,112.3,1005.0,12.0
1965,11,8,6,1,12.2,111.8,1000.0,15.0
1965,11,8,12,1,13.1,112.1,1000.0,15.0
1965,11,8,18,1,13.7,112.8,1000.0,15.0
1965,11,9,0,1,14.2,113.4,1000.0,15.0
1965,11,9,6,1,15.3,113.8,1000.0,15.0
1965,11,9,12,2,16.1,113.6,998.0,20.0
1965,11,9,18,2,16.6,113.3,997.0,20.0
1965,11,10,0,2,16.9,112.8,996.0,20.0
1965,11,10,6,3,16.6,112.8,992.0,25.0
1965,11,10,12,3,16.9,113.0,994.0,25.0
1965,11,10,18,3,17.2,112.9,996.0,25.0
1965,11,11,0,3,17.8,112.7,996.0,25.0
1965,11,11,6,2,18.5,112.6,998.0,20.0
1965,11,11,12,2,19.0,112.6,1000.0,20.0
1965,11,11,18,1,19.5,112.5,1000.0,15.0
1965,11,12,0,1,20.0,112.3,1000.0,15.0
1965,11,12,6,1,20.3,111.9,1000.0,15.0
1965,11,12,12,1,20.4,111.5,1004.0,12.0
1965,11,12,18,1,20.4,111.2,1004.0,12.0
1965,11,13,0,1,20.2,110.9,1006.0,12.0
1965,11,13,6,0,19.8,110.6,1008.0,9.0
1965,11,13,12,0,19.6,110.0,1008.0,9.0
