year,month,day,hour,power,lat,lng,PRES,WND
1965,8,14,12,0,11.8,173.4,1008.0,0.0
1965,8,14,18,0,13.1,172.6,1006.0,0.0
1965,8,15,0,1,14.3,171.7,1004.0,15.0
1965,8,15,6,3,15.1,170.3,993.0,30.0
1965,8,15,12,3,15.8,169.2,994.0,30.0
1965,8,15,18,3,16.5,167.9,996.0,30.0
1965,8,16,0,4,17.2,166.7,997.0,35.0
1965,8,16,6,4,18.2,165.2,997.0,35.0
1965,8,16,12,4,19.2,163.5,996.0,35.0
1965,8,16,18,4,20.2,161.7,995.0,35.0
1965,8,17,0,4,21.2,159.8,993.0,40.0
1965,8,17,6,5,22.4,157.8,987.0,45.0
1965,8,17,12,5,23.3,155.7,986.0,45.0
1965,8,17,18,5,24.2,153.7,985.0,50.0
1965,8,18,0,6,24.7,152.3,977.0,60.0
1965,8,18,6,6,25.2,150.8,965.0,60.0
1965,8,18,12,6,25.9,148.3,957.0,60.0
1965,8,18,18,6,26.4,145.8,950.0,60.0
1965,8,19,0,6,26.8,144.0,945.0,70.0
1965,8,19,6,6,27.0,142.9,944.0,70.0
1965,8,19,12,6,27.5,142.0,946.0,70.0
1965,8,19,18,6,28.0,141.1,947.0,70.0
1965,8,20,0,6,28.6,140.5,948.0,70.0
1965,8,20,6,6,29.2,139.8,950.0,60.0
1965,8,20,12,6,29.8,139.4,951.0,60.0
1965,8,20,18,6,30.6,138.9,952.0,55.0
1965,8,21,0,6,31.2,137.9,954.0,55.0
1965,8,21,6,6,31.4,137.6,956.0,55.0
1965,8,21,12,5,31.8,137.6,959.0,50.0
1965,8,21,18,5,32.5,137.6,962.0,50.0
1965,8,22,0,5,33.3,137.8,962.0,50.0
1965,8,22,6,5,34.1,138.2,968.0,45.0
1965,8,22,12,4,34.9,138.9,968.0,35.0
1965,8,22,18,2,35.5,139.6,990.0,20.0
1965,8,23,0,1,36.3,141.2,996.0,15.0
1965,8,23,6,1,37.2,142.5,996.0,15.0
1965,8,23,12,1,37.7,144.2,998.0,15.0
1965,8,23,18,1,38.5,146.0,998.0,15.0
1965,8,24,0,1,39.0,148.0,1000.0,15.0
1965,8,24,6,9,39.5,150.5,996.0,0.0
1965,8,24,12,9,39.8,152.8,998.0,0.0
1965,8,24,18,9,40.0,155.0,998.0,0.0
1965,8,25,0,9,40.1,157.0,1002.0,0.0
1965,8,25,6,9,40.1,158.1,1002.0,0.0
1965,8,25,12,9,40.1,159.0,1002.0,0.0
1965,8,25,18,9,40.1,160.0,1004.0,0.0
1965,8,26,0,9,40.1,161.0,1004.0,0.0
