year,month,day,hour,power,lat,lng,PRES,WND
1965,8,14,6,0,16.5,115.5,1008.0,0.0
1965,8,14,12,0,16.6,114.8,1008.0,0.0
1965,8,14,18,0,16.8,114.0,1008.0,0.0
1965,8,15,0,0,17.0,113.3,1008.0,0.0
1965,8,15,6,0,17.4,113.1,1005.0,0.0
1965,8,15,12,0,17.8,113.2,1005.0,0.0
1965,8,15,18,0,18.4,113.8,1005.0,0.0
1965,8,16,0,0,18.0,114.0,1004.0,0.0
1965,8,16,6,1,17.8,113.6,1000.0,15.0
1965,8,16,12,2,18.2,113.3,996.0,20.0
1965,8,16,18,2,18.4,113.0,996.0,20.0
1965,8,17,0,3,18.6,112.5,995.0,25.0
1965,8,17,6,3,18.7,112.0,990.0,30.0
1965,8,17,12,3,18.9,111.4,990.0,30.0
1965,8,17,18,3,19.0,110.5,990.0,25.0
1965,8,18,0,2,18.8,109.3,992.0,20.0
1965,8,18,6,2,18.6,108.3,994.0,20.0
1965,8,18,12,2,18.5,107.0,996.0,20.0
1965,8,18,18,2,18.5,106.0,998.0,20.0
1965,8,19,0,1,18.5,105.0,1000.0,15.0
