year,month,day,hour,power,lat,lng,PRES,WND
1965,8,28,12,0,18.8,118.1,1004.0,0.0
1965,8,28,18,0,17.5,117.1,1004.0,0.0
1965,8,29,0,0,16.5,116.5,1002.0,10.0
1965,8,29,6,1,15.6,116.7,1002.0,15.0
1965,8,29,12,1,15.8,117.8,1002.0,15.0
1965,8,29,18,1,16.0,119.0,1002.0,15.0
1965,8,30,0,1,16.7,118.5,1002.0,15.0
1965,8,30,6,1,16.3,118.0,1000.0,15.0
1965,8,30,12,1,15.5,117.7,1000.0,15.0
1965,8,30,18,1,15.0,117.5,999.0,15.0
1965,8,31,0,1,14.8,116.8,999.0,15.0
1965,8,31,6,2,14.8,116.0,995.0,20.0
1965,8,31,12,2,15.2,115.4,995.0,20.0
1965,8,31,18,2,15.6,114.7,995.0,20.0
1965,9,1,0,2,16.0,114.0,995.0,20.0
1965,9,1,6,2,16.3,113.0,995.0,20.0
1965,9,1,12,2,16.3,112.2,995.0,20.0
1965,9,1,18,2,16.5,111.3,995.0,20.0
1965,9,2,0,2,16.8,110.0,995.0,20.0
1965,9,2,6,1,17.2,108.5,998.0,15.0
1965,9,2,12,0,18.2,106.7,1000.0,0.0
1965,9,2,18,0,19.0,105.0,1002.0,0.0
