year,month,day,hour,power,lat,lng,PRES,WND
1965,8,31,18,0,8.6,145.4,1006.0,0.0
1965,9,1,0,0,9.0,145.6,1006.0,0.0
1965,9,1,6,0,9.5,145.2,1006.0,0.0
1965,9,1,12,0,9.8,144.8,1006.0,0.0
1965,9,1,18,0,10.1,144.2,1005.0,0.0
1965,9,2,0,0,10.5,143.7,1005.0,0.0
1965,9,2,6,0,10.8,143.0,1005.0,0.0
1965,9,2,12,0,11.1,142.3,1005.0,0.0
1965,9,2,18,0,11.5,141.6,1005.0,0.0
1965,9,3,0,0,12.0,141.0,1005.0,0.0
1965,9,3,6,0,12.8,140.8,1004.0,0.0
1965,9,3,12,0,13.5,140.8,1004.0,0.0
1965,9,3,18,0,14.2,140.8,1004.0,0.0
1965,9,4,0,0,15.0,141.0,1004.0,0.0
1965,9,4,6,0,15.8,141.2,1004.0,0.0
1965,9,4,12,0,16.5,141.6,1004.0,0.0
1965,9,4,18,0,17.2,141.8,1004.0,0.0
1965,9,5,0,0,18.0,142.0,1004.0,0.0
1965,9,5,6,0,18.9,142.0,1002.0,0.0
1965,9,5,12,1,19.7,141.9,1002.0,15.0
1965,9,5,18,2,20.4,141.6,1000.0,20.0
1965,9,6,0,2,21.0,141.3,996.0,20.0
1965,9,6,6,3,21.3,140.8,995.0,25.0
1965,9,6,12,4,21.6,139.9,985.0,35.0
1965,9,6,18,4,22.0,138.8,976.0,40.0
1965,9,7,0,5,22.2,137.5,967.0,50.0
1965,9,7,6,5,22.6,136.4,961.0,50.0
1965,9,7,12,5,23.0,135.5,957.0,50.0
1965,9,7,18,5,23.4,134.6,953.0,50.0
1965,9,8,0,6,24.0,133.7,951.0,55.0
1965,9,8,6,6,24.6,133.2,949.0,55.0
1965,9,8,12,6,25.2,132.5,944.0,60.0
1965,9,8,18,6,25.9,132.0,939.0,65.0
1965,9,9,0,6,26.8,131.6,936.0,70.0
1965,9,9,6,6,28.2,131.5,937.0,70.0
1965,9,9,12,6,29.5,132.0,938.0,70.0
1965,9,9,18,6,31.5,133.0,939.0,70.0
1965,9,10,0,6,33.8,134.2,944.0,65.0
1965,9,10,6,5,37.1,136.3,956.0,50.0
1965,9,10,12,4,40.8,138.6,968.0,40.0
1965,9,10,18,3,43.0,140.5,974.0,30.0
1965,9,11,0,9,46.5,144.4,976.0,25.0
1965,9,11,6,9,48.4,147.8,976.0,25.0
1965,9,11,12,9,50.0,150.8,978.0,25.0
1965,9,11,18,9,51.3,153.0,980.0,20.0
1965,9,12,0,9,52.1,155.3,980.0,0.0
1965,9,12,6,9,52.2,159.1,984.0,0.0
1965,9,12,12,9,52.1,165.0,984.0,0.0
1965,9,12,18,9,52.0,169.5,982.0,0.0
1965,9,13,0,9,51.8,175.2,986.0,0.0
1965,9,13,6,9,51.5,179.9,988.0,0.0
