year,month,day,hour,power,lat,lng,PRES,WND
1966,5,22,0,0,13.0,111.5,1005.0,9.0
1966,5,22,6,0,13.2,112.3,1004.0,9.0
1966,5,22,12,0,13.4,112.9,1004.0,9.0
1966,5,22,18,0,13.5,113.5,1004.0,9.0
1966,5,23,0,0,13.7,114.0,1001.0,9.0
1966,5,23,6,0,13.8,114.5,1003.0,9.0
1966,5,23,12,0,13.7,115.1,1003.0,9.0
1966,5,23,18,1,13.6,115.5,1002.0,12.0
1966,5,24,0,1,13.5,116.0,1002.0,12.0
1966,5,24,6,1,13.5,116.3,1000.0,15.0
1966,5,24,12,1,13.6,116.5,1000.0,15.0
1966,5,24,18,1,13.7,116.7,998.0,15.0
1966,5,25,0,2,13.8,116.9,998.0,20.0
1966,5,25,6,2,14.0,117.2,998.0,20.0
1966,5,25,12,2,14.3,117.4,998.0,20.0
1966,5,25,18,3,14.5,117.5,994.0,25.0
1966,5,26,0,3,14.7,117.8,992.0,25.0
1966,5,26,6,3,14.9,118.2,991.0,30.0
1966,5,26,12,3,15.3,118.6,989.0,30.0
1966,5,26,18,3,15.9,118.4,987.0,30.0
1966,5,27,0,4,16.4,118.0,985.0,35.0
1966,5,27,6,4,16.8,117.6,982.0,35.0
1966,5,27,12,4,17.3,117.3,980.0,35.0
1966,5,27,18,4,17.9,117.0,978.0,35.0
1966,5,28,0,4,18.5,116.7,974.0,35.0
1966,5,28,6,4,19.0,116.4,971.0,40.0
1966,5,28,12,5,19.5,116.2,972.0,45.0
1966,5,28,18,5,20.0,116.0,976.0,45.0
1966,5,29,0,4,20.7,116.4,980.0,40.0
1966,5,29,6,4,20.9,116.9,980.0,40.0
1966,5,29,12,4,21.2,117.4,984.0,35.0
1966,5,29,18,4,21.6,117.9,986.0,35.0
1966,5,30,0,4,22.3,118.4,981.0,35.0
1966,5,30,6,3,22.7,119.3,983.0,30.0
1966,5,30,12,3,23.1,120.6,988.0,25.0
1966,5,30,18,3,23.9,122.5,988.0,25.0
1966,5,31,0,3,25.1,124.4,990.0,25.0
1966,5,31,6,3,27.1,126.5,992.0,25.0
1966,5,31,12,3,28.7,128.5,994.0,25.0
1966,5,31,18,9,29.7,130.3,996.0,25.0
1966,6,1,0,9,31.0,133.0,996.0,25.0
1966,6,1,6,9,32.2,136.0,996.0,25.0
1966,6,1,12,9,33.2,140.0,998.0,20.0
1966,6,1,18,9,33.8,144.0,998.0,15.0
1966,6,2,0,9,34.5,148.0,996.0,0.0
1966,6,2,6,9,34.9,151.5,996.0,0.0
1966,6,2,12,9,35.4,154.5,996.0,0.0
1966,6,2,18,9,35.7,157.2,996.0,0.0
1966,6,3,0,9,36.1,160.0,996.0,0.0
1966,6,3,6,9,36.7,163.5,996.0,0.0
1966,6,3,12,9,37.3,167.0,996.0,0.0
1966,6,3,18,9,38.0,170.0,996.0,0.0
1966,6,4,0,9,39.2,173.0,996.0,0.0
1966,6,4,6,9,40.2,176.1,996.0,0.0
1966,6,4,12,9,41.1,179.3,996.0,0.0
