year,month,day,hour,power,lat,lng,PRES,WND
1966,10,6,18,0,13.1,154.0,1008.0,0.0
1966,10,7,0,0,13.3,153.4,1008.0,0.0
1966,10,7,6,0,14.0,153.0,1008.0,0.0
1966,10,7,12,0,14.9,152.6,1008.0,0.0
1966,10,7,18,0,16.0,152.2,1006.0,0.0
1966,10,8,0,0,17.2,151.3,1006.0,0.0
1966,10,8,6,1,18.0,150.7,1004.0,15.0
1966,10,8,12,1,18.7,150.6,1000.0,15.0
1966,10,8,18,2,19.3,150.7,996.0,20.0
1966,10,9,0,3,19.7,150.8,989.0,25.0
1966,10,9,6,3,20.0,150.9,983.0,25.0
1966,10,9,12,3,19.8,151.4,978.0,30.0
1966,10,9,18,4,19.6,151.5,973.0,35.0
1966,10,10,0,4,19.3,151.6,970.0,40.0
1966,10,10,6,4,19.2,151.8,969.0,40.0
1966,10,10,12,4,19.1,151.8,968.0,40.0
1966,10,10,18,4,18.9,151.6,967.0,40.0
1966,10,11,0,4,19.1,151.3,967.0,40.0
1966,10,11,6,4,19.3,151.2,969.0,35.0
1966,10,11,12,4,19.5,150.9,972.0,35.0
1966,10,11,18,4,19.7,150.6,976.0,35.0
1966,10,12,0,4,20.1,150.4,976.0,35.0
1966,10,12,6,4,20.4,150.3,976.0,35.0
1966,10,12,12,4,20.7,150.3,977.0,35.0
1966,10,12,18,4,21.1,150.5,975.0,40.0
1966,10,13,0,4,21.5,150.9,969.0,40.0
1966,10,13,6,4,22.0,151.3,963.0,40.0
1966,10,13,12,4,22.6,152.0,958.0,40.0
1966,10,13,18,5,23.2,152.8,953.0,45.0
1966,10,14,0,5,24.2,153.5,949.0,50.0
1966,10,14,6,5,25.2,154.9,952.0,45.0
1966,10,14,12,4,25.9,156.1,957.0,40.0
1966,10,14,18,4,26.9,157.0,961.0,40.0
1966,10,15,0,4,27.6,157.9,963.0,35.0
1966,10,15,6,4,28.3,159.0,964.0,35.0
1966,10,15,12,4,29.0,159.9,965.0,35.0
1966,10,15,18,4,29.2,160.8,962.0,35.0
1966,10,16,0,4,29.3,162.0,957.0,40.0
1966,10,16,6,4,29.7,163.2,955.0,40.0
1966,10,16,12,4,30.2,164.2,955.0,40.0
1966,10,16,18,4,30.5,165.2,955.0,40.0
1966,10,17,0,4,30.8,166.2,955.0,40.0
1966,10,17,6,4,31.2,167.4,960.0,40.0
1966,10,17,12,4,31.6,168.8,968.0,35.0
1966,10,17,18,4,32.4,170.0,969.0,35.0
1966,10,18,0,4,33.3,170.7,965.0,35.0
1966,10,18,6,4,34.5,171.4,963.0,35.0
1966,10,18,12,4,35.2,172.1,963.0,35.0
1966,10,18,18,4,36.4,172.8,962.0,35.0
1966,10,19,0,4,37.6,173.7,961.0,35.0
1966,10,19,6,4,39.0,174.8,960.0,35.0
1966,10,19,12,4,40.5,176.0,960.0,35.0
1966,10,19,18,4,41.9,177.2,959.0,35.0
1966,10,20,0,4,43.5,178.6,958.0,35.0
1966,10,20,6,4,45.0,180.0,958.0,35.0
