year,month,day,hour,power,lat,lng,PRES,WND
1966,8,18,6,1,26.5,131.9,998.0,12.0
1966,8,18,12,1,26.9,131.7,998.0,12.0
1966,8,18,18,1,27.5,131.5,997.0,12.0
1966,8,19,0,1,28.2,131.0,997.0,12.0
1966,8,19,6,1,28.5,130.2,997.0,12.0
1966,8,19,12,1,28.0,129.0,997.0,12.0
1966,8,19,18,1,27.1,129.1,996.0,15.0
1966,8,20,0,1,26.7,130.0,996.0,15.0
1966,8,20,6,1,26.8,130.7,992.0,15.0
1966,8,20,12,1,27.0,131.0,992.0,15.0
1966,8,20,18,1,27.3,131.0,988.0,15.0
1966,8,21,0,3,27.8,130.6,985.0,25.0
1966,8,21,6,3,28.0,129.9,984.0,25.0
1966,8,21,12,3,27.6,130.1,983.0,25.0
1966,8,21,18,3,27.7,131.0,983.0,25.0
1966,8,22,0,4,28.3,132.0,975.0,35.0
1966,8,22,6,4,29.4,132.4,973.0,35.0
1966,8,22,12,4,30.2,132.5,973.0,35.0
1966,8,22,18,3,31.2,132.0,975.0,30.0
1966,8,23,0,2,31.9,130.5,985.0,20.0
1966,8,23,6,2,32.5,129.9,987.0,20.0
1966,8,23,12,2,33.0,129.1,990.0,20.0
1966,8,23,18,1,33.6,128.4,990.0,15.0
1966,8,24,0,1,34.2,127.6,992.0,15.0
1966,8,24,6,1,34.8,126.6,992.0,15.0
1966,8,24,12,1,35.3,125.8,994.0,15.0
1966,8,24,18,1,35.8,125.2,994.0,15.0
1966,8,25,0,1,36.4,124.5,994.0,15.0
1966,8,25,6,1,37.0,123.9,994.0,15.0
1966,8,25,12,1,37.6,123.5,998.0,15.0
1966,8,25,18,1,38.6,123.1,998.0,15.0
1966,8,26,0,1,39.4,122.9,1000.0,15.0
1966,8,26,6,1,41.0,122.4,1002.0,12.0
1966,8,26,12,0,42.9,122.2,1002.0,10.0
1966,8,26,18,9,45.0,123.5,1002.0,12.0
1966,8,27,0,9,46.0,125.2,1002.0,15.0
1966,8,27,6,9,46.5,126.4,1002.0,15.0
1966,8,27,12,9,46.8,127.6,1002.0,12.0
1966,8,27,18,9,47.0,128.8,1002.0,12.0
1966,8,28,0,9,47.2,131.0,1002.0,0.0
1966,8,28,6,9,47.1,134.4,1002.0,0.0
1966,8,28,12,9,46.5,137.0,1004.0,0.0
1966,8,28,18,9,46.0,140.0,1004.0,0.0
1966,8,29,0,9,46.0,142.6,1004.0,0.0
1966,8,29,6,9,46.0,144.5,1006.0,0.0
1966,8,29,12,9,46.0,145.0,1008.0,0.0
