year,month,day,hour,power,lat,lng,PRES,WND
1967,9,24,18,0,5.9,165.0,1008.0,0.0
1967,9,25,0,0,7.0,164.2,1008.0,0.0
1967,9,25,6,0,8.0,163.5,1007.0,0.0
1967,9,25,12,0,9.0,162.8,1007.0,0.0
1967,9,25,18,0,10.1,162.2,1006.0,0.0
1967,9,26,0,0,11.0,161.8,1006.0,0.0
1967,9,26,6,1,12.0,161.3,1006.0,15.0
1967,9,26,12,1,12.9,160.9,1006.0,15.0
1967,9,26,18,1,13.9,160.5,1006.0,15.0
1967,9,27,0,1,14.8,160.2,1006.0,15.0
1967,9,27,6,1,15.8,159.9,1004.0,15.0
1967,9,27,12,1,16.9,159.6,1004.0,15.0
1967,9,27,18,1,17.8,159.2,1002.0,15.0
1967,9,28,0,1,18.8,158.8,1000.0,15.0
1967,9,28,6,2,19.5,158.3,996.0,20.0
1967,9,28,12,2,20.0,158.0,996.0,20.0
1967,9,28,18,2,20.6,157.6,996.0,20.0
1967,9,29,0,2,21.1,157.5,995.0,20.0
1967,9,29,6,2,21.4,157.8,992.0,20.0
1967,9,29,12,3,21.4,158.3,987.0,25.0
1967,9,29,18,3,21.3,158.7,983.0,25.0
1967,9,30,0,3,21.0,159.0,980.0,30.0
1967,9,30,6,3,20.7,159.3,980.0,30.0
1967,9,30,12,3,20.3,159.5,980.0,30.0
1967,9,30,18,3,19.9,159.7,978.0,30.0
1967,10,1,0,3,19.6,159.5,980.0,30.0
1967,10,1,6,3,19.8,159.0,985.0,30.0
1967,10,1,12,3,20.0,158.5,986.0,30.0
1967,10,1,18,3,20.1,157.9,988.0,30.0
1967,10,2,0,3,20.1,157.4,990.0,25.0
1967,10,2,6,3,20.2,156.7,990.0,25.0
1967,10,2,12,3,20.2,156.0,989.0,25.0
1967,10,2,18,3,20.5,154.5,988.0,30.0
1967,10,3,0,3,21.2,153.1,986.0,30.0
1967,10,3,6,4,21.9,152.1,984.0,35.0
1967,10,3,12,4,22.6,151.0,982.0,35.0
1967,10,3,18,4,23.0,150.0,980.0,35.0
1967,10,4,0,4,23.8,148.7,976.0,35.0
1967,10,4,6,4,25.4,147.3,967.0,40.0
1967,10,4,12,4,26.7,146.7,966.0,40.0
1967,10,4,18,4,27.6,146.4,966.0,40.0
1967,10,5,0,4,28.7,146.4,965.0,40.0
1967,10,5,6,4,30.1,147.0,962.0,40.0
1967,10,5,12,4,31.9,148.4,961.0,40.0
1967,10,5,18,4,34.0,150.1,974.0,35.0
1967,10,6,0,3,36.2,151.6,980.0,30.0
1967,10,6,6,0,39.0,156.0,992.0,0.0
1967,10,6,12,9,41.0,162.2,992.0,0.0
1967,10,6,18,9,42.4,169.0,992.0,0.0
1967,10,7,0,9,45.9,178.0,988.0,0.0
