year,month,day,hour,power,lat,lng,PRES,WND
1967,6,24,0,0,10.0,142.0,1008.0,0.0
1967,6,24,6,0,10.3,141.3,1006.0,0.0
1967,6,24,12,0,10.6,140.5,1006.0,0.0
1967,6,24,18,0,10.9,139.8,1006.0,0.0
1967,6,25,0,0,11.0,139.0,1005.0,0.0
1967,6,25,6,0,11.0,137.8,1004.0,0.0
1967,6,25,12,0,11.1,136.5,1004.0,0.0
1967,6,25,18,0,11.2,135.0,1004.0,0.0
1967,6,26,0,1,11.5,133.6,1002.0,15.0
1967,6,26,6,1,11.8,132.5,1000.0,15.0
1967,6,26,12,1,12.2,131.5,1000.0,15.0
1967,6,26,18,2,13.0,130.3,1000.0,20.0
1967,6,27,0,2,14.1,129.3,996.0,20.0
1967,6,27,6,3,14.9,128.1,993.0,25.0
1967,6,27,12,3,15.8,126.8,989.0,25.0
1967,6,27,18,3,16.5,125.6,983.0,30.0
1967,6,28,0,4,17.3,124.6,980.0,35.0
1967,6,28,6,4,18.0,123.5,980.0,35.0
1967,6,28,12,4,18.4,122.5,978.0,35.0
1967,6,28,18,4,19.3,121.5,978.0,35.0
1967,6,29,0,4,19.8,120.4,978.0,35.0
1967,6,29,6,4,20.5,119.6,977.0,35.0
1967,6,29,12,4,21.0,118.6,975.0,40.0
1967,6,29,18,5,21.5,117.7,975.0,45.0
1967,6,30,0,4,22.0,116.8,975.0,40.0
1967,6,30,6,3,23.6,116.4,980.0,30.0
1967,6,30,12,1,24.5,115.8,992.0,12.0
1967,6,30,18,0,26.8,114.5,996.0,0.0
